"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.SI.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.SI.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Slovenia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:25,
2009-09,361,
2009-10,360,
2009-11,356,
2009-12,390,
2010-01,521,
2010-02,489,
2010-03,603,
2010-04,664,
2010-05,674,
2010-06,664,
2010-07,666,
2010-08,680,
2010-09,676,
2010-10,674,
2010-11,658,
2010-12,635,
2011-01,659,
2011-02,662,
2011-03,771,
2011-04,765,
2011-05,752,
2011-06,722,
2011-07,669,
2011-08,653,
2011-09,645,
2011-10,631,
2011-11,582,
2011-12,596,
2012-01,613,
2012-02,626,
2012-03,634,
2012-04,636,
2012-05,647,
2012-06,631,
2012-07,561,
2012-08,514,
2012-09,511,
2012-10,546,
2012-11,534,
2012-12,683,
2013-01,704,
2013-02,685,
2013-03,571,
2013-04,639,
2013-05,614,
2013-06,586,
2013-07,603,
2013-08,591,
2013-09,557,
2013-10,604,
2013-11,702,
2013-12,791,
2014-01,872,
2014-02,1169,
2014-03,1372,
2014-04,1393,
2014-05,1395,
2014-06,1437,
2014-07,1369,
2014-08,1383,
2014-09,1393,
2014-10,1480,
2014-11,1541,
