"",BBSF2.M.1.T.00000.DRE01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:09,
2009-09,22,
2009-10,95,
2009-11,47,
2009-12,31,
2010-01,47,
2010-02,109,
2010-03,141,
2010-04,86,
2010-05,27,
2010-06,5,
2010-07,17,
2010-08,82,
2010-09,127,
2010-10,98,
2010-11,116,
2010-12,267,
2011-01,42,
2011-02,30,
2011-03,31,
2011-04,7,
2011-05,289,
2011-06,27,
2011-07,87,
2011-08,66,
2011-09,173,
2011-10,139,
2011-11,75,
2011-12,220,
2012-01,75,
2012-02,18,
2012-03,5,
2012-04,18,
2012-05,25,
2012-06,132,
2012-07,100,
2012-08,-105,
2012-09,0,
2012-10,-34,
2012-11,36,
2012-12,273,
2013-01,91,
2013-02,15,
2013-03,36,
2013-04,189,
2013-05,9,
2013-06,-104,
2013-07,-40,
2013-08,-132,
2013-09,49,
2013-10,71,
2013-11,26,
2013-12,183,
2014-01,34,
2014-02,-13,
2014-03,78,
2014-04,4,
2014-05,4,
2014-06,15,
2014-07,76,
2014-08,8,
2014-09,-242,
2014-10,15,
2014-11,9,
