"",BBFB1.M.N.DE.W1.S1.S1.T.C.G21._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G21._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Net exports of goods under merchanting / Goods acquired under merchanting / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:03,
1991-01,-3661.506,
1991-02,-3043.438,
1991-03,-2945.313,
1991-04,-3096.020,
1991-05,-2908.533,
1991-06,-2664.723,
1991-07,-3411.594,
1991-08,-3209.339,
1991-09,-2628.729,
1991-10,-2966.483,
1991-11,-2615.117,
1991-12,-3015.098,
1992-01,-3298.386,
1992-02,-3104.793,
1992-03,-3372.177,
1992-04,-2973.157,
1992-05,-3239.362,
1992-06,-3152.227,
1992-07,-3182.148,
1992-08,-2822.899,
1992-09,-3304.485,
1992-10,-3472.595,
1992-11,-3346.802,
1992-12,-2912.323,
1993-01,-3192.686,
1993-02,-2855.299,
1993-03,-3278.442,
1993-04,-2953.197,
1993-05,-3544.919,
1993-06,-3373.627,
1993-07,-3493.511,
1993-08,-3391.773,
1993-09,-2978.123,
1993-10,-2606.568,
1993-11,-3224.521,
1993-12,-3070.932,
1994-01,-3150.898,
1994-02,-2436.002,
1994-03,-2910.024,
1994-04,-2961.357,
1994-05,-3220.781,
1994-06,-3155.894,
1994-07,-3214.702,
1994-08,-2775.543,
1994-09,-3516.180,
1994-10,-3187.427,
1994-11,-3056.297,
1994-12,-2448.457,
1995-01,-2970.781,
1995-02,-2513.165,
1995-03,-3205.917,
1995-04,-2855.658,
1995-05,-3713.298,
1995-06,-3262.596,
1995-07,-2673.223,
1995-08,-4272.650,
1995-09,-2753.472,
1995-10,-3213.025,
1995-11,-3567.605,
1995-12,-3259.446,
1996-01,-3312.026,
1996-02,-3627.060,
1996-03,-3358.839,
1996-04,-3304.748,
1996-05,-2739.663,
1996-06,-3403.719,
1996-07,-3140.855,
1996-08,-3407.186,
1996-09,-2222.064,
1996-10,-3569.946,
1996-11,-2945.027,
1996-12,-3424.114,
1997-01,-3980.882,
1997-02,-3778.411,
1997-03,-3973.955,
1997-04,-3464.957,
1997-05,-3248.465,
1997-06,-3516.693,
1997-07,-4196.726,
1997-08,-3590.586,
1997-09,-3733.114,
1997-10,-3875.607,
1997-11,-3149.342,
1997-12,-2490.833,
1998-01,-3506.980,
1998-02,-3161.145,
1998-03,-3290.938,
1998-04,-3203.611,
1998-05,-2864.193,
1998-06,-3448.346,
1998-07,-2604.459,
1998-08,-3702.356,
1998-09,-2697.942,
1998-10,-2461.821,
1998-11,-2252.873,
1998-12,-3216.053,
1999-01,-2550.488,
1999-02,-2029.280,
1999-03,-3450.509,
1999-04,-3709.482,
1999-05,-2195.294,
1999-06,-3783.644,
1999-07,-2977.101,
1999-08,-2594.482,
1999-09,-6475.627,
1999-10,-3856.725,
1999-11,-3905.968,
1999-12,-4150.378,
2000-01,-3761.538,
2000-02,-2995.663,
2000-03,-3866.792,
2000-04,-4126.813,
2000-05,-4107.246,
2000-06,-4752.586,
2000-07,-4003.506,
2000-08,-3371.319,
2000-09,-3418.076,
2000-10,-4213.231,
2000-11,-4339.000,
2000-12,-5124.697,
2001-01,-4407.149,
2001-02,-3681.482,
2001-03,-6004.624,
2001-04,-5456.470,
2001-05,-8145.261,
2001-06,-7110.407,
2001-07,-5891.979,
2001-08,-6581.368,
2001-09,-5384.402,
2001-10,-5439.532,
2001-11,-5075.200,
2001-12,-5131.233,
2002-01,-3418.174,
2002-02,-3493.229,
2002-03,-3960.769,
2002-04,-3793.452,
2002-05,-3669.447,
2002-06,-3711.607,
2002-07,-3864.860,
2002-08,-3743.504,
2002-09,-3483.202,
2002-10,-3962.352,
2002-11,-3785.163,
2002-12,-3821.562,
2003-01,-4570.961,
2003-02,-3005.505,
2003-03,-3752.963,
2003-04,-3362.472,
2003-05,-3844.620,
2003-06,-3688.410,
2003-07,-3585.491,
2003-08,-3764.149,
2003-09,-3871.524,
2003-10,-3427.416,
2003-11,-3648.593,
2003-12,-4745.593,
2004-01,-3594.850,
2004-02,-4263.336,
2004-03,-5544.676,
2004-04,-4357.701,
2004-05,-3720.986,
2004-06,-4305.549,
2004-07,-4474.340,
2004-08,-4799.646,
2004-09,-4825.979,
2004-10,-4610.478,
2004-11,-5752.042,
2004-12,-5497.939,
2005-01,-6169.759,
2005-02,-5796.830,
2005-03,-7555.247,
2005-04,-6796.485,
2005-05,-6694.312,
2005-06,-6856.139,
2005-07,-6501.600,
2005-08,-5030.775,
2005-09,-4736.757,
2005-10,-6606.428,
2005-11,-7265.274,
2005-12,-10739.579,
2006-01,-7372.353,
2006-02,-6609.382,
2006-03,-7378.550,
2006-04,-7059.287,
2006-05,-8178.888,
2006-06,-7485.939,
2006-07,-7047.997,
2006-08,-7052.763,
2006-09,-6266.715,
2006-10,-6710.515,
2006-11,-7086.544,
2006-12,-10061.914,
2007-01,-7468.332,
2007-02,-6881.974,
2007-03,-7100.655,
2007-04,-7361.032,
2007-05,-7341.430,
2007-06,-7545.345,
2007-07,-6976.269,
2007-08,-6364.209,
2007-09,-5946.262,
2007-10,-7395.127,
2007-11,-7303.408,
2007-12,-9454.380,
2008-01,-7040.074,
2008-02,-6924.396,
2008-03,-6963.813,
2008-04,-7626.011,
2008-05,-7319.563,
2008-06,-7959.079,
2008-07,-8079.884,
2008-08,-6799.111,
2008-09,-6843.228,
2008-10,-7330.604,
2008-11,-6312.325,
2008-12,-12263.309,
2009-01,-4586.947,
2009-02,-4636.689,
2009-03,-4814.726,
2009-04,-6008.955,
2009-05,-5040.080,
2009-06,-6642.428,
2009-07,-6398.015,
2009-08,-4548.358,
2009-09,-4318.689,
2009-10,-4693.058,
2009-11,-5236.009,
2009-12,-10141.420,
2010-01,-4991.331,
2010-02,-4760.213,
2010-03,-6497.284,
2010-04,-7059.599,
2010-05,-7140.196,
2010-06,-7117.052,
2010-07,-7358.297,
2010-08,-6885.348,
2010-09,-6333.540,
2010-10,-6496.505,
2010-11,-6688.194,
2010-12,-7320.769,
2011-01,-6973.288,
2011-02,-6846.346,
2011-03,-7585.399,
2011-04,-7114.625,
2011-05,-7919.438,
2011-06,-7480.440,
2011-07,-7157.162,
2011-08,-6666.743,
2011-09,-6680.518,
2011-10,-8151.675,
2011-11,-7050.516,
2011-12,-8080.205,
2012-01,-6992.725,
2012-02,-6402.260,
2012-03,-7350.473,
2012-04,-8236.723,
2012-05,-7692.796,
2012-06,-7494.312,
2012-07,-8128.583,
2012-08,-6525.067,
2012-09,-6841.603,
2012-10,-8398.886,
2012-11,-7617.941,
2012-12,-8390.689,
2013-01,-7367.852,
2013-02,-7432.339,
2013-03,-7820.594,
2013-04,-7636.282,
2013-05,-7811.919,
2013-06,-6977.560,
2013-07,-7679.271,
2013-08,-6902.299,
2013-09,-7176.704,
2013-10,-7859.390,
2013-11,-8089.025,
2013-12,-7149.259,
2014-01,-7006.169,
2014-02,-6722.475,
2014-03,-8009.296,
2014-04,-7729.729,
2014-05,-7706.520,
2014-06,-7779.921,
2014-07,-8119.488,
2014-08,-7287.189,
2014-09,-8101.875,
2014-10,-8274.317,
2014-11,-8328.528,
2014-12,-7940.774,Provisional value
