"",BBK01.OEAA56H,BBK01.OEAA56H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:05,
2002-01,0.101,
2002-04,0.115,
2002-07,0.116,
2002-10,0.112,
2003-01,0.110,
2003-04,0.104,
2003-07,0.116,
2003-10,0.148,
2004-01,0.127,
2004-04,0.142,
2004-07,0.145,
2004-10,0.284,
2005-01,0.368,
2005-04,0.394,
2005-07,0.365,
2005-10,0.369,
2006-01,0.351,
2006-04,0.355,
2006-07,0.357,
2006-10,0.347,
2007-01,0.328,
2007-04,0.347,
2007-07,0.346,
2007-10,0.314,
2008-01,0.289,
2008-04,0.291,
2008-07,0.318,
2008-10,0.322,
2009-01,0.337,
2009-04,0.320,
2009-07,0.303,
2009-10,0.330,
2010-01,0.342,
2010-04,0.387,
2010-07,0.423,
2010-10,0.384,
2011-01,0.368,
2011-04,0.362,
2011-07,0.348,
2011-10,0.346,
2012-01,0.328,
2012-04,0.197,
2012-07,0.251,
2012-10,0.208,
2013-01,0.194,
2013-04,0.177,
2013-07,0.174,
2013-10,0.170,
2014-01,0.169,
2014-04,0.168,
2014-07,0.161,
