"",BBK01.OEAH16P,BBK01.OEAH16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:30,
2002-01,4.800,
2002-04,4.842,
2002-07,5.020,
2002-10,4.980,
2003-01,5.120,
2003-04,5.230,
2003-07,5.185,
2003-10,5.395,
2004-01,5.344,
2004-04,5.460,
2004-07,5.435,
2004-10,5.780,
2005-01,5.631,
2005-04,5.920,
2005-07,6.121,
2005-10,6.131,
2006-01,6.182,
2006-04,6.142,
2006-07,5.999,
2006-10,6.218,
2007-01,6.214,
2007-04,6.167,
2007-07,6.414,
2007-10,6.574,
2008-01,6.350,
2008-04,6.317,
2008-07,6.183,
2008-10,7.142,
2009-01,7.284,
2009-04,7.780,
2009-07,8.213,
2009-10,9.201,
2010-01,9.201,
2010-04,9.899,
2010-07,9.752,
2010-10,10.311,
2011-01,9.979,
2011-04,10.088,
2011-07,10.509,
2011-10,10.985,
2012-01,10.509,
2012-04,11.281,
2012-07,11.517,
2012-10,12.624,
2013-01,12.132,
2013-04,12.225,
2013-07,12.327,
2013-10,12.878,
2014-01,12.827,
2014-04,12.771,
2014-07,12.867,
