"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SK.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SK.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Slovakia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:02,
2009-09,161,
2009-10,162,
2009-11,164,
2009-12,161,
2010-01,162,
2010-02,78,
2010-03,76,
2010-04,94,
2010-05,94,
2010-06,91,
2010-07,99,
2010-08,95,
2010-09,89,
2010-10,134,
2010-11,116,
2010-12,92,
2011-01,87,
2011-02,88,
2011-03,76,
2011-04,93,
2011-05,93,
2011-06,90,
2011-07,90,
2011-08,90,
2011-09,84,
2011-10,76,
2011-11,58,
2011-12,57,
2012-01,73,
2012-02,82,
2012-03,72,
2012-04,71,
2012-05,73,
2012-06,72,
2012-07,76,
2012-08,76,
2012-09,78,
2012-10,78,
2012-11,89,
2012-12,89,
2013-01,87,
2013-02,104,
2013-03,104,
2013-04,101,
2013-05,113,
2013-06,105,
2013-07,107,
2013-08,110,
2013-09,106,
2013-10,105,
2013-11,103,
2013-12,106,
2014-01,120,
2014-02,105,
2014-03,100,
2014-04,99,
2014-05,86,
2014-06,97,
2014-07,98,
2014-08,98,
2014-09,96,
2014-10,94,
2014-11,93,
