"",BBK01.OEXB02J,BBK01.OEXB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:18,
2002-01,0.844,
2002-04,0.867,
2002-07,0.964,
2002-10,0.934,
2003-01,0.826,
2003-04,0.769,
2003-07,0.792,
2003-10,0.753,
2004-01,0.747,
2004-04,0.734,
2004-07,0.736,
2004-10,0.676,
2005-01,0.729,
2005-04,0.740,
2005-07,0.805,
2005-10,0.817,
2006-01,0.828,
2006-04,0.841,
2006-07,0.827,
2006-10,0.916,
2007-01,0.869,
2007-04,0.868,
2007-07,0.893,
2007-10,0.958,
2008-01,0.958,
2008-04,1.022,
2008-07,1.038,
2008-10,0.989,
2009-01,0.959,
2009-04,0.904,
2009-07,0.889,
2009-10,0.942,
2010-01,0.925,
2010-04,0.982,
2010-07,1.064,
2010-10,1.120,
2011-01,1.131,
2011-04,1.179,
2011-07,1.240,
2011-10,1.282,
2012-01,1.344,
2012-04,1.377,
2012-07,1.458,
2012-10,1.544,
2013-01,1.482,
2013-04,1.511,
2013-07,1.520,
2013-10,1.729,
2014-01,1.763,
2014-04,1.788,
2014-07,1.716,
