"",BBK01.SUD209,BBK01.SUD209_FLAGS
"",New business (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of over 1 and up to 2 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:50,
2003-01,307,
2003-02,196,
2003-03,259,
2003-04,196,
2003-05,56,
2003-06,322,
2003-07,109,
2003-08,187,
2003-09,210,
2003-10,156,
2003-11,256,
2003-12,360,
2004-01,174,
2004-02,197,
2004-03,201,
2004-04,222,
2004-05,115,
2004-06,163,
2004-07,334,
2004-08,102,
2004-09,274,
2004-10,258,
2004-11,176,
2004-12,211,
2005-01,181,
2005-02,134,
2005-03,236,
2005-04,314,
2005-05,194,
2005-06,235,
2005-07,128,
2005-08,98,
2005-09,234,
2005-10,308,
2005-11,301,
2005-12,501,
2006-01,203,
2006-02,296,
2006-03,392,
2006-04,446,
2006-05,252,
2006-06,321,
2006-07,554,
2006-08,280,
2006-09,488,
2006-10,315,
2006-11,256,
2006-12,229,
2007-01,700,
2007-02,331,
2007-03,447,
2007-04,248,
2007-05,290,
2007-06,781,
2007-07,742,
2007-08,808,
2007-09,532,
2007-10,849,
2007-11,615,
2007-12,661,
2008-01,437,
2008-02,202,
2008-03,161,
2008-04,306,
2008-05,288,
2008-06,304,
2008-07,267,
2008-08,460,
2008-09,899,
2008-10,205,
2008-11,433,
2008-12,480,
2009-01,843,
2009-02,367,
2009-03,480,
2009-04,358,
2009-05,412,
2009-06,279,
2009-07,356,
2009-08,326,
2009-09,325,
2009-10,229,
2009-11,301,
2009-12,460,
2010-01,256,
2010-02,200,
2010-03,344,
2010-04,334,
2010-05,185,
2010-06,331,
2010-07,479,
2010-08,353,
2010-09,475,
2010-10,376,
2010-11,288,
2010-12,452,
2011-01,383,
2011-02,706,
2011-03,430,
2011-04,625,
2011-05,433,
2011-06,434,
2011-07,774,
2011-08,428,
2011-09,411,
2011-10,621,
2011-11,576,
2011-12,766,
2012-01,520,
2012-02,594,
2012-03,528,
2012-04,392,
2012-05,326,
2012-06,312,
2012-07,638,
2012-08,405,
2012-09,505,
2012-10,523,
2012-11,490,
2012-12,546,
2013-01,364,
2013-02,413,
2013-03,507,
2013-04,417,
2013-05,508,
2013-06,408,
2013-07,460,
2013-08,516,
2013-09,463,
2013-10,381,
2013-11,383,
2013-12,367,
2014-01,391,
2014-02,371,
2014-03,525,
2014-04,576,
2014-05,432,
2014-06,313,
2014-07,335,
2014-08,188,
2014-09,279,
2014-10,608,
2014-11,1448,
2014-12,731,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. p = Provisional,
