"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Net (Assets minus Liabilities) - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:05,
1999-10,-189461,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-50805,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-99825,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-211240,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-277958,
2004-01,-282423,
2004-04,-252622,
2004-07,-296330,
2004-10,-298320,
2005-01,-282131,
2005-04,-303957,
2005-07,-305107,
2005-10,-251021,
2006-01,-220193,
2006-04,-174919,
2006-07,-174097,
2006-10,-183449,
2007-01,-185485,
2007-04,-284107,
2007-07,-345868,
2007-10,-454823,
2008-01,-425846,
2008-04,-354687,
2008-07,-432675,
2008-10,-575162,
2009-01,-601775,
2009-04,-528514,
2009-07,-505988,
2009-10,-475620,
2010-01,-501191,
2010-04,-553550,
2010-07,-565950,
2010-10,-459939,
2011-01,-440593,
2011-04,-510675,
2011-07,-648684,
2011-10,-642906,
2012-01,-596357,
2012-04,-621380,
2012-07,-608864,
2012-10,-582483,
2013-01,-525807,
2013-04,-446306,
2013-07,-386153,
2013-10,-340303,
2014-01,-323836,
2014-04,-281389,
2014-07,-257346,
