"",BBK01.OELJ04H,BBK01.OELJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:38,
2002-01,1.491,
2002-04,1.440,
2002-07,1.293,
2002-10,1.257,
2003-01,1.253,
2003-04,1.239,
2003-07,1.281,
2003-10,1.270,
2004-01,1.282,
2004-04,1.203,
2004-07,1.293,
2004-10,1.351,
2005-01,1.379,
2005-04,1.406,
2005-07,1.364,
2005-10,1.465,
2006-01,1.458,
2006-04,1.479,
2006-07,1.607,
2006-10,1.522,
2007-01,1.685,
2007-04,1.652,
2007-07,1.840,
2007-10,1.759,
2008-01,1.854,
2008-04,1.949,
2008-07,2.183,
2008-10,2.201,
2009-01,1.874,
2009-04,1.689,
2009-07,1.649,
2009-10,1.545,
2010-01,1.583,
2010-04,1.504,
2010-07,1.550,
2010-10,1.620,
2011-01,1.673,
2011-04,1.732,
2011-07,1.815,
2011-10,1.866,
2012-01,1.851,
2012-04,1.754,
2012-07,1.699,
2012-10,1.697,
2013-01,1.654,
2013-04,1.476,
2013-07,1.402,
2013-10,1.421,
2014-01,1.401,
2014-04,1.415,
2014-07,1.466,
