"",BBK01.OEXB10R,BBK01.OEXB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:49,
2002-01,0.409,
2002-04,0.480,
2002-07,0.531,
2002-10,0.538,
2003-01,0.527,
2003-04,0.530,
2003-07,0.521,
2003-10,0.486,
2004-01,0.493,
2004-04,0.531,
2004-07,0.545,
2004-10,0.496,
2005-01,0.447,
2005-04,0.463,
2005-07,0.394,
2005-10,0.380,
2006-01,0.364,
2006-04,0.365,
2006-07,0.321,
2006-10,0.304,
2007-01,0.335,
2007-04,0.359,
2007-07,0.333,
2007-10,0.317,
2008-01,0.610,
2008-04,0.343,
2008-07,0.360,
2008-10,0.387,
2009-01,0.377,
2009-04,0.398,
2009-07,0.431,
2009-10,0.411,
2010-01,0.373,
2010-04,0.401,
2010-07,0.306,
2010-10,0.276,
2011-01,0.273,
2011-04,0.285,
2011-07,0.257,
2011-10,0.287,
2012-01,0.260,
2012-04,0.286,
2012-07,0.280,
2012-10,0.267,
2013-01,0.307,
2013-04,0.300,
2013-07,0.284,
2013-10,0.286,
2014-01,0.290,
2014-04,0.328,
2014-07,0.296,
