"",BBAI3.Q.DE.N.V.LE.F29AB.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:43,
2005-10,95316,
2006-01,97401,
2006-04,100104,
2006-07,103086,
2006-10,105293,
2007-01,107470,
2007-04,110774,
2007-07,114394,
2007-10,116813,
2008-01,119532,
2008-04,122178,
2008-07,125404,
2008-10,127388,
2009-01,129602,
2009-04,133195,
2009-07,135602,
2009-10,137629,
2010-01,137042,
2010-04,138145,
2010-07,140005,
2010-10,141806,
2011-01,140421,
2011-04,141003,
2011-07,141505,
2011-10,144239,
2012-01,144595,
2012-04,143992,
2012-07,144413,
2012-10,143500,
2013-01,144679,
2013-04,144866,
2013-07,145442,
2013-10,145439,
2014-01,146054,
2014-04,146372,
2014-07,145718,
