"",BBK01.OEYL01I,BBK01.OEYL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:53,
2002-01,13.911,
2002-04,13.689,
2002-07,13.498,
2002-10,13.474,
2003-01,13.577,
2003-04,13.289,
2003-07,16.669,
2003-10,15.783,
2004-01,15.936,
2004-04,15.411,
2004-07,15.223,
2004-10,14.750,
2005-01,14.628,
2005-04,13.409,
2005-07,13.185,
2005-10,13.263,
2006-01,13.380,
2006-04,13.455,
2006-07,13.336,
2006-10,10.713,
2007-01,10.729,
2007-04,10.820,
2007-07,10.942,
2007-10,11.136,
2008-01,11.129,
2008-04,11.254,
2008-07,11.193,
2008-10,11.849,
2009-01,12.343,
2009-04,12.274,
2009-07,12.284,
2009-10,12.458,
2010-01,12.575,
2010-04,12.891,
2010-07,12.925,
2010-10,13.124,
2011-01,12.975,
2011-04,13.037,
2011-07,12.950,
2011-10,13.187,
2012-01,13.342,
2012-04,13.551,
2012-07,13.516,
2012-10,13.710,
2013-01,13.724,
2013-04,13.845,
2013-07,13.940,
2013-10,14.081,
2014-01,14.195,
2014-04,14.678,
2014-07,14.866,
