"",BBNZ1.Q.DE.S.G.0036.A,BBNZ1.Q.DE.S.G.0036.A_FLAGS
"",Germany / National accounts / Households' income / Net wages and salaries (residence concept) / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:06,
1991-01,121.292,
1991-04,123.463,
1991-07,121.733,
1991-10,124.263,
1992-01,127.561,
1992-04,130.065,
1992-07,132.931,
1992-10,133.309,
1993-01,132.863,
1993-04,135.240,
1993-07,134.869,
1993-10,135.749,
1994-01,134.595,
1994-04,134.204,
1994-07,134.218,
1994-10,135.403,
1995-01,135.384,
1995-04,135.419,
1995-07,135.380,
1995-10,136.469,
1996-01,138.166,
1996-04,137.590,
1996-07,137.470,
1996-10,136.473,
1997-01,135.499,
1997-04,135.109,
1997-07,135.160,
1997-10,135.556,
1998-01,136.965,
1998-04,138.169,
1998-07,139.134,
1998-10,139.196,
1999-01,140.648,
1999-04,142.963,
1999-07,144.508,
1999-10,144.997,
2000-01,148.773,
2000-04,149.489,
2000-07,150.873,
2000-10,151.443,
2001-01,154.117,
2001-04,154.357,
2001-07,154.482,
2001-10,155.754,
2002-01,154.987,
2002-04,154.761,
2002-07,155.882,
2002-10,156.319,
2003-01,153.537,
2003-04,152.639,
2003-07,154.541,
2003-10,154.651,
2004-01,156.554,
2004-04,157.550,
2004-07,157.106,
2004-10,157.299,
2005-01,156.912,
2005-04,156.904,
2005-07,156.766,
2005-10,156.786,
2006-01,155.699,
2006-04,157.244,
2006-07,158.837,
2006-10,158.935,
2007-01,160.826,
2007-04,161.826,
2007-07,162.213,
2007-10,164.068,
2008-01,166.904,
2008-04,167.140,
2008-07,168.096,
2008-10,168.669,
2009-01,166.325,
2009-04,166.834,
2009-07,169.234,
2009-10,170.202,
2010-01,173.201,
2010-04,175.156,
2010-07,176.121,
2010-10,177.689,
2011-01,179.964,
2011-04,181.734,
2011-07,182.398,
2011-10,184.356,
2012-01,186.706,
2012-04,189.017,
2012-07,189.267,
2012-10,191.365,
2013-01,192.084,
2013-04,193.566,
2013-07,195.200,
2013-10,196.376,
2014-01,198.829,
2014-04,200.704,
2014-07,202.074,
2014-10,203.013,
