"",BBEX3.M.ZAR.EUR.CA.AB.A01,BBEX3.M.ZAR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in South Africa / EUR 1 = ZAR ... (selling),
unit,ZAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:25,
1999-01,6.8931,
1999-02,6.8348,
1999-03,6.6342,
1999-04,6.4215,
1999-05,6.4878,
1999-06,6.2336,
1999-07,6.6140,
1999-08,6.4325,
1999-09,6.4170,
1999-10,6.4795,
1999-11,6.2345,
1999-12,6.2047,
2000-01,6.1110,
2000-02,6.1135,
2000-03,6.3442,
2000-04,6.1910,
2000-05,6.5335,
2000-06,6.4550,
2000-07,6.4305,
2000-08,6.1990,
2000-09,6.3940,
2000-10,6.4160,
2000-11,6.7495,
2000-12,7.1515,
2001-01,7.2530,
2001-02,7.0800,
2001-03,7.0560,
2001-04,7.1360,
2001-05,6.7655,
2001-06,6.8405,
2001-07,7.2100,
2001-08,7.6940,
2001-09,8.2050,
2001-10,8.5000,
2001-11,9.2140,
2001-12,10.7870,
2002-01,9.8155,
2002-02,9.9250,
2002-03,9.9295,
2002-04,9.5800,
2002-05,9.1760,
2002-06,10.1550,
2002-07,9.9395,
2002-08,10.4025,
2002-09,10.3880,
2002-10,9.9250,
2002-11,9.1894,
2002-12,8.9880,
2003-01,9.1560,
2003-02,8.7245,
2003-03,8.6265,
2003-04,8.1300,
2003-05,9.5565,
2003-06,8.6080,
2003-07,8.2590,
2003-08,8.0560,
2003-09,8.0840,
2003-10,7.9585,
2003-11,7.6435,
2003-12,8.4100,
2004-01,8.8300,
2004-02,8.2415,
2004-03,7.7255,
2004-04,8.3560,
2004-05,7.8930,
2004-06,7.5045,
2004-07,7.5055,
2004-08,8.0765,
2004-09,7.9990,
2004-10,7.7950,
2004-11,7.6985,
2004-12,7.6717,
2005-01,7.9466,
2005-02,7.8929,
2005-03,8.2808,
2005-04,8.0953,
2005-05,8.4855,
2005-06,8.2653,
2005-07,8.2047,
2005-08,8.1376,
2005-09,7.8562,
2005-10,8.2817,
2005-11,7.8274,
2005-12,7.6653,
2006-01,7.5964,
2006-02,7.5331,
2006-03,7.6791,
2006-04,7.8106,
2006-05,8.7386,
2006-06,9.3084,
2006-07,9.0025,
2006-08,9.3611,
2006-09,10.0106,
2006-10,9.5730,
2006-11,9.5830,
2006-12,9.4079,
2007-01,9.5694,
2007-02,9.7412,
2007-03,9.8185,
2007-04,9.7776,
2007-05,9.7379,
2007-06,9.6882,
2007-07,9.9047,
2007-08,9.9193,
2007-09,9.9209,
2007-10,9.6578,
2007-11,10.1532,
2007-12,10.1780,
2008-01,11.3782,
2008-02,11.8441,
2008-03,13.0160,
2008-04,11.9394,
2008-05,11.9582,
2008-06,12.5334,
2008-07,11.6624,
2008-08,11.4764,
2008-09,11.9670,
2008-10,12.9754,
2008-11,12.9813,
2008-12,13.3255,
2009-01,13.2947,
2009-02,12.9662,
2009-03,12.7931,
2009-04,11.4264,
2009-05,11.4153,
2009-06,11.0583,
2009-07,11.2755,
2009-08,11.3532,
2009-09,11.1156,
2009-10,11.8706,
2009-11,11.3325,
2009-12,10.8465,
2010-01,10.7502,
2010-02,10.6334,
2010-03,10.1163,
2010-04,10.0023,
2010-05,9.6465,
2010-06,9.5614,
2010-07,9.7392,
2010-08,9.6041,
2010-09,9.7174,
2010-10,9.8831,
2010-11,9.4682,
2010-12,9.0374,
2011-01,10.0603,
2011-02,9.8266,
2011-03,9.7989,
2011-04,9.9743,
2011-05,10.0990,
2011-06,10.0513,
2011-07,9.8490,
2011-08,10.3377,
2011-09,11.1044,
2011-10,11.1576,
2011-11,11.2076,
2011-12,10.7038,
2012-01,10.4596,
2012-02,10.1999,
2012-03,10.4564,
2012-04,10.4517,
2012-05,10.7879,
2012-06,10.5949,
2012-07,10.2770,
2012-08,10.8396,
2012-09,10.8984,
2012-10,11.4313,
2012-11,11.6996,
2012-12,11.4017,
2013-01,12.3269,
2013-02,11.9629,
2013-03,12.0272,
2013-04,12.0503,
2013-05,13.3547,
2013-06,13.2436,
2013-07,13.3296,
2013-08,13.6534,
2013-09,13.8074,
2013-10,13.8207,
2013-11,14.0349,
2013-12,14.7339,
2014-01,15.2909,
2014-02,15.2201,
2014-03,14.7713,
2014-04,14.8016,
2014-05,14.5287,
2014-06,14.6977,
2014-07,14.5337,
2014-08,14.2124,
2014-09,14.4737,
2014-10,13.9413,
2014-11,14.0159,
2014-12,14.2375,
2015-01,13.3688,
"","Source: Since March 2004 Standard Bank, Johannesburg  1999 - February 2004 Standard Corporate & Merchant Bank, Johannesburg",
