"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:25,
1970-06,-,Nothing exists
1970-07,2347,
1970-08,2423,
1970-09,2423,
1970-10,2434,
1970-11,2370,
1970-12,2380,
1971-01,2670,
1971-02,2830,
1971-03,2926,
1971-04,2881,
1971-05,2892,
1971-06,2930,
1971-07,3023,
1971-08,2939,
1971-09,2862,
1971-10,2668,
1971-11,2690,
1971-12,2976,
1972-01,3153,
1972-02,3431,
1972-03,3620,
1972-04,3603,
1972-05,3756,
1972-06,3636,
1972-07,3837,
1972-08,3857,
1972-09,3751,
1972-10,3650,
1972-11,3754,
1972-12,3747,
1973-01,3916,
1973-02,3745,
1973-03,3940,
1973-04,3751,
1973-05,3399,
1973-06,3292,
1973-07,3057,
1973-08,3086,
1973-09,3058,
1973-10,3304,
1973-11,2998,
1973-12,2968,
1974-01,3118,
1974-02,2951,
1974-03,2908,
1974-04,3052,
1974-05,2918,
1974-06,2870,
1974-07,2822,
1974-08,2828,
1974-09,2669,
1974-10,2752,
1974-11,2849,
1974-12,2881,
1975-01,3193,
1975-02,3535,
1975-03,3633,
1975-04,3818,
1975-05,3619,
1975-06,3717,
1975-07,4060,
1975-08,3877,
1975-09,3812,
1975-10,4116,
1975-11,4370,
1975-12,4427,
1976-01,4482,
1976-02,4521,
1976-03,4657,
1976-04,4377,
1976-05,4269,
1976-06,4360,
1976-07,4267,
1976-08,4223,
1976-09,4231,
1976-10,3924,
1976-11,4145,
1976-12,4212,
1977-01,4245,
1977-02,4148,
1977-03,4233,
1977-04,4569,
1977-05,4540,
1977-06,4419,
1977-07,4452,
1977-08,4534,
1977-09,4595,
1977-10,4716,
1977-11,4816,
1977-12,4780,
1978-01,4804,
1978-02,4839,
1978-03,4812,
1978-04,4729,
1978-05,4792,
1978-06,4877,
1978-07,5063,
1978-08,5127,
1978-09,5231,
1978-10,4984,
1978-11,4936,
1978-12,4922,
1979-01,4950,
1979-02,4785,
1979-03,4735,
1979-04,4682,
1979-05,4431,
1979-06,4318,
1979-07,4482,
1979-08,4574,
1979-09,4553,
1979-10,4251,
1979-11,4302,
1979-12,4257,
1980-01,4313,
1980-02,4191,
1980-03,3873,
1980-04,3964,
1980-05,4018,
1980-06,4119,
1980-07,4214,
1980-08,4129,
1980-09,4150,
1980-10,4114,
1980-11,4240,
1980-12,4115,
1981-01,4000,
1981-02,3921,
1981-03,4038,
1981-04,4175,
1981-05,4057,
1981-06,4182,
1981-07,4194,
1981-08,3996,
1981-09,3589,
1981-10,3510,
1981-11,3544,
1981-12,3341,
1982-01,3332,
1982-02,3261,
1982-03,3261,
1982-04,3214,
1982-05,3107,
1982-06,2979,
1982-07,2942,
1982-08,2877,
1982-09,2973,
1982-10,3012,
1982-11,3091,
1982-12,3266,
1983-01,3246,
1983-02,3364,
1983-03,3794,
1983-04,4141,
1983-05,3955,
1983-06,4135,
1983-07,4246,
1983-08,4014,
1983-09,4080,
1983-10,4211,
1983-11,4308,
1983-12,4402,
1984-01,4567,
1984-02,4258,
1984-03,4292,
1984-04,4331,
1984-05,4058,
1984-06,4096,
1984-07,3794,
1984-08,4080,
1984-09,4196,
1984-10,4192,
1984-11,4153,
1984-12,4194,
1985-01,4266,
1985-02,4196,
1985-03,4111,
1985-04,4157,
1985-05,4418,
1985-06,4587,
1985-07,4351,
1985-08,4613,
1985-09,4850,
1985-10,5408,
1985-11,5374,
1985-12,5891,
1986-01,5725,
1986-02,5637,
1986-03,6048,
1986-04,6345,
1986-05,5907,
1986-06,5771,
1986-07,5451,
1986-08,6173,
1986-09,5835,
1986-10,5931,
1986-11,6118,
1986-12,6042,
1987-01,5534,
1987-02,5384,
1987-03,5589,
1987-04,5538,
1987-05,5509,
1987-06,5805,
1987-07,6267,
1987-08,6392,
1987-09,6436,
1987-10,4852,
1987-11,4356,
1987-12,4302,
1988-01,4132,
1988-02,4647,
1988-03,4776,
1988-04,4851,
1988-05,5157,
1988-06,5378,
1988-07,5441,
1988-08,5447,
1988-09,5807,
1988-10,5801,
1988-11,5703,
1988-12,5994,
1989-01,6260,
1989-02,6028,
1989-03,6236,
1989-04,6595,
1989-05,6884,
1989-06,7067,
1989-07,7268,
1989-08,7624,
1989-09,7655,
1989-10,6746,
1989-11,7213,
1989-12,7796,
1990-01,7955,
1990-02,7788,
1990-03,8783,
1990-04,8398,
1990-05,8828,
1990-06,9144,
1990-07,9417,
1990-08,8055,
1990-09,6827,
1990-10,7312,
1990-11,7372,
1990-12,7307,
1991-01,7322,
1991-02,8260,
1991-03,8463,
1991-04,9017,
1991-05,9379,
1991-06,9091,
1991-07,9212,
1991-08,9482,
1991-09,9290,
1991-10,9246,
1991-11,8891,
1991-12,8797,
1992-01,9542,
1992-02,10161,
1992-03,9966,
1992-04,10154,
1992-05,10570,
1992-06,10187,
1992-07,9485,
1992-08,9019,
1992-09,8828,
1992-10,8995,
1992-11,9339,
1992-12,9336,
1993-01,9451,
1993-02,10079,
1993-03,10691,
1993-04,10656,
1993-05,11323,
1993-06,11505,
1993-07,12609,
1993-08,13440,
1993-09,13452,
1993-10,15232,
1993-11,15596,
1993-12,17917,
1994-01,19442,
1994-02,19828,
1994-03,20584,
1994-04,22047,
1994-05,21399,
1994-06,20831,
1994-07,22084,
1994-08,22974,
1994-09,21273,
1994-10,21693,
1994-11,21426,
1994-12,22007,
1995-01,20976,
1995-02,21274,
1995-03,19724,
1995-04,20620,
1995-05,21400,
1995-06,21299,
1995-07,22520,
1995-08,22822,
1995-09,22220,
1995-10,21782,
1995-11,22573,
1995-12,23106,
1996-01,24930,
1996-02,24634,
1996-03,24795,
1996-04,25180,
1996-05,25403,
1996-06,25810,
1996-07,24249,
1996-08,25287,
1996-09,26472,
1996-10,26378,
1996-11,28643,
1996-12,28847,
1997-01,31447,
1997-02,34847,
1997-03,36976,
1997-04,38633,
1997-05,41193,
1997-06,45300,
