"",BBK01.WXI028,BBK01.WXI028_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:14,
2009-01,239,
2009-02,294,
2009-03,318,
2009-04,673,
2009-05,929,
2009-06,438,
2009-07,592,
2009-08,575,
2009-09,995,
2009-10,719,
2009-11,1089,
2009-12,785,
2010-01,834,
2010-02,925,
2010-03,1183,
2010-04,1407,
2010-05,1663,
2010-06,988,
2010-07,1062,
2010-08,740,
2010-09,794,
2010-10,820,
2010-11,782,
2010-12,590,
2011-01,726,
2011-02,885,
2011-03,896,
2011-04,1115,
2011-05,1297,
2011-06,779,
2011-07,672,
2011-08,814,
2011-09,956,
2011-10,701,
2011-11,764,
2011-12,791,
2012-01,653,
2012-02,596,
2012-03,569,
2012-04,612,
2012-05,977,
2012-06,807,
2012-07,827,
2012-08,803,
2012-09,807,
2012-10,784,
2012-11,817,
2012-12,422,
2013-01,542,
2013-02,553,
2013-03,576,
2013-04,750,
2013-05,826,
2013-06,761,
2013-07,851,
2013-08,764,
2013-09,786,
2013-10,899,
2013-11,987,
2013-12,440,
2014-01,641,
2014-02,758,
2014-03,714,
2014-04,636,
2014-05,848,
2014-06,653,
2014-07,823,
2014-08,735,
2014-09,897,
2014-10,825,
2014-11,876,
