"",BBK01.OEAH87G,BBK01.OEAH87G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:38,
2002-01,45.356,
2002-04,42.425,
2002-07,44.106,
2002-10,40.934,
2003-01,38.441,
2003-04,37.941,
2003-07,38.670,
2003-10,35.963,
2004-01,31.429,
2004-04,29.242,
2004-07,27.172,
2004-10,26.627,
2005-01,22.817,
2005-04,23.110,
2005-07,21.715,
2005-10,25.418,
2006-01,22.184,
2006-04,20.254,
2006-07,20.602,
2006-10,19.212,
2007-01,19.990,
2007-04,20.172,
2007-07,20.523,
2007-10,19.494,
2008-01,17.273,
2008-04,17.700,
2008-07,19.881,
2008-10,15.917,
2009-01,14.680,
2009-04,15.608,
2009-07,15.233,
2009-10,12.645,
2010-01,12.735,
2010-04,13.000,
2010-07,15.182,
2010-10,13.215,
2011-01,12.744,
2011-04,11.968,
2011-07,10.238,
2011-10,12.547,
2012-01,10.607,
2012-04,10.091,
2012-07,9.990,
2012-10,10.063,
2013-01,7.589,
2013-04,6.316,
2013-07,7.116,
2013-10,7.764,
2014-01,7.344,
2014-04,5.960,
2014-07,7.415,
