"",BBK01.OEAC56U,BBK01.OEAC56U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:45,
2002-01,4.036,
2002-04,4.088,
2002-07,4.061,
2002-10,4.065,
2003-01,4.074,
2003-04,4.013,
2003-07,4.437,
2003-10,4.431,
2004-01,4.251,
2004-04,3.913,
2004-07,3.896,
2004-10,3.910,
2005-01,3.936,
2005-04,3.879,
2005-07,3.857,
2005-10,3.831,
2006-01,3.833,
2006-04,3.843,
2006-07,3.874,
2006-10,3.896,
2007-01,3.896,
2007-04,3.905,
2007-07,3.947,
2007-10,3.863,
2008-01,3.835,
2008-04,3.857,
2008-07,3.916,
2008-10,3.915,
2009-01,3.881,
2009-04,4.237,
2009-07,4.268,
2009-10,4.128,
2010-01,4.244,
2010-04,4.236,
2010-07,4.277,
2010-10,4.250,
2011-01,4.340,
2011-04,4.328,
2011-07,4.319,
2011-10,4.302,
2012-01,4.283,
2012-04,4.426,
2012-07,4.429,
2012-10,4.426,
2013-01,4.424,
2013-04,4.399,
2013-07,4.512,
2013-10,4.558,
2014-01,4.535,
2014-04,4.492,
2014-07,4.328,
