"",BBK01.CEFP0J,BBK01.CEFP0J_FLAGS
"",Time deposits  debtor: Total          creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:04,
1999-01,230.6,
1999-04,222.7,
1999-07,218.1,
1999-10,224.1,
2000-01,220.1,
2000-04,219.0,
2000-07,223.1,
2000-10,231.5,
2001-01,239.6,
2001-04,242.9,
2001-07,245.6,
2001-10,247.4,
2002-01,244.3,
2002-04,240.3,
2002-07,239.6,
2002-10,242.7,
2003-01,238.3,
2003-04,232.8,
2003-07,229.0,
2003-10,226.4,
2004-01,224.1,
2004-04,219.1,
2004-07,217.2,
2004-10,220.7,
2005-01,218.1,
2005-04,215.6,
2005-07,214.5,
2005-10,221.0,
2006-01,226.1,
2006-04,228.7,
2006-07,239.1,
2006-10,251.7,
2007-01,259.4,
2007-04,265.8,
2007-07,280.9,
2007-10,303.6,
2008-01,317.7,
2008-04,331.4,
2008-07,350.0,
2008-10,376.5,
2009-01,330.1,
2009-04,307.3,
2009-07,278.6,
2009-10,259.4,
2010-01,247.4,
2010-04,242.7,
2010-07,238.4,
2010-10,244.0,
2011-01,243.5,
2011-04,248.1,
2011-07,252.1,
2011-10,261.2,
2012-01,264.7,
2012-04,264.8,
2012-07,260.8,
2012-10,255.9,
2013-01,251.7,
2013-04,249.4,
2013-07,244.4,
2013-10,245.9,
2014-01,248.2,
2014-04,249.5,
2014-07,250.5,
