"",BBK01.OEHL04K,BBK01.OEHL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:48,
2002-01,1.167,
2002-04,1.058,
2002-07,1.079,
2002-10,1.085,
2003-01,1.034,
2003-04,0.960,
2003-07,0.882,
2003-10,0.867,
2004-01,0.776,
2004-04,0.712,
2004-07,0.703,
2004-10,0.749,
2005-01,0.672,
2005-04,0.631,
2005-07,0.642,
2005-10,0.663,
2006-01,0.636,
2006-04,0.657,
2006-07,0.653,
2006-10,0.704,
2007-01,0.699,
2007-04,0.784,
2007-07,0.734,
2007-10,0.833,
2008-01,0.867,
2008-04,0.968,
2008-07,1.010,
2008-10,1.153,
2009-01,0.688,
2009-04,0.648,
2009-07,0.502,
2009-10,0.457,
2010-01,0.427,
2010-04,0.486,
2010-07,0.477,
2010-10,0.590,
2011-01,0.376,
2011-04,0.417,
2011-07,0.459,
2011-10,0.466,
2012-01,0.405,
2012-04,0.133,
2012-07,0.118,
2012-10,0.088,
2013-01,0.083,
2013-04,0.078,
2013-07,0.072,
2013-10,0.065,
2014-01,0.064,
2014-04,0.059,
2014-07,0.035,
