"",BBK01.OEXO01I,BBK01.OEXO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:06,
2002-01,3.987,
2002-04,3.891,
2002-07,3.778,
2002-10,3.752,
2003-01,3.777,
2003-04,3.672,
2003-07,2.574,
2003-10,2.545,
2004-01,2.562,
2004-04,2.517,
2004-07,2.453,
2004-10,2.368,
2005-01,2.393,
2005-04,2.408,
2005-07,2.380,
2005-10,2.313,
2006-01,2.367,
2006-04,2.375,
2006-07,2.382,
2006-10,2.888,
2007-01,2.973,
2007-04,3.407,
2007-07,3.499,
2007-10,3.715,
2008-01,3.941,
2008-04,3.968,
2008-07,4.027,
2008-10,4.223,
2009-01,4.882,
2009-04,4.768,
2009-07,4.724,
2009-10,4.778,
2010-01,4.491,
2010-04,4.110,
2010-07,4.003,
2010-10,3.939,
2011-01,4.192,
2011-04,4.313,
2011-07,4.289,
2011-10,4.282,
2012-01,4.294,
2012-04,4.187,
2012-07,4.123,
2012-10,4.009,
2013-01,3.886,
2013-04,3.718,
2013-07,3.589,
2013-10,3.550,
2014-01,3.564,
2014-04,3.534,
2014-07,3.564,
