"",BBK01.OEAA47H,BBK01.OEAA47H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:01,
2002-01,52.024,
2002-04,51.279,
2002-07,51.070,
2002-10,50.307,
2003-01,48.576,
2003-04,47.892,
2003-07,46.548,
2003-10,49.881,
2004-01,48.553,
2004-04,47.085,
2004-07,46.782,
2004-10,45.749,
2005-01,45.279,
2005-04,43.551,
2005-07,42.800,
2005-10,41.987,
2006-01,41.796,
2006-04,40.258,
2006-07,39.577,
2006-10,39.285,
2007-01,38.412,
2007-04,37.845,
2007-07,36.525,
2007-10,35.554,
2008-01,35.294,
2008-04,34.264,
2008-07,33.825,
2008-10,33.325,
2009-01,32.627,
2009-04,30.725,
2009-07,34.888,
2009-10,35.060,
2010-01,34.142,
2010-04,33.916,
2010-07,33.296,
2010-10,33.496,
2011-01,34.275,
2011-04,33.872,
2011-07,35.000,
2011-10,34.480,
2012-01,33.653,
2012-04,33.799,
2012-07,33.523,
2012-10,33.629,
2013-01,33.697,
2013-04,33.450,
2013-07,33.203,
2013-10,33.223,
2014-01,33.398,
2014-04,32.760,
2014-07,32.709,
