"",BBK01.OEXJ10M,BBK01.OEXJ10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:21,
2002-01,0.050,
2002-04,0.050,
2002-07,0.049,
2002-10,0.049,
2003-01,0.048,
2003-04,0.048,
2003-07,0.047,
2003-10,0.046,
2004-01,0.069,
2004-04,0.067,
2004-07,0.061,
2004-10,0.061,
2005-01,0.059,
2005-04,0.058,
2005-07,0.054,
2005-10,0.052,
2006-01,0.052,
2006-04,0.050,
2006-07,0.050,
2006-10,0.047,
2007-01,0.043,
2007-04,0.037,
2007-07,0.035,
2007-10,0.032,
2008-01,0.028,
2008-04,0.026,
2008-07,0.024,
2008-10,0.022,
2009-01,0.021,
2009-04,0.021,
2009-07,0.022,
2009-10,0.021,
2010-01,0.021,
2010-04,0.020,
2010-07,0.020,
2010-10,0.019,
2011-01,0.018,
2011-04,0.011,
2011-07,0.011,
2011-10,0.003,
2012-01,0.003,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.002,
2013-07,0.002,
2013-10,0.002,
2014-01,0.001,
2014-04,0.001,
2014-07,0.001,
