"",BBK01.OEAC44L,BBK01.OEAC44L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:14,
2002-01,2.678,
2002-04,2.583,
2002-07,2.571,
2002-10,2.477,
2003-01,2.817,
2003-04,2.845,
2003-07,2.967,
2003-10,2.877,
2004-01,2.892,
2004-04,2.898,
2004-07,2.831,
2004-10,2.760,
2005-01,2.945,
2005-04,2.860,
2005-07,2.830,
2005-10,2.671,
2006-01,2.634,
2006-04,2.622,
2006-07,2.472,
2006-10,2.437,
2007-01,2.424,
2007-04,2.426,
2007-07,2.448,
2007-10,2.344,
2008-01,2.349,
2008-04,2.355,
2008-07,2.329,
2008-10,2.248,
2009-01,2.457,
2009-04,2.551,
2009-07,2.553,
2009-10,2.536,
2010-01,2.502,
2010-04,2.534,
2010-07,2.560,
2010-10,2.573,
2011-01,2.333,
2011-04,2.267,
2011-07,2.273,
2011-10,2.261,
2012-01,2.258,
2012-04,2.385,
2012-07,2.368,
2012-10,2.270,
2013-01,2.254,
2013-04,2.225,
2013-07,2.248,
2013-10,2.215,
2014-01,2.147,
2014-04,2.111,
2014-07,2.209,
