"",BBK01.OEAN05G,BBK01.OEAN05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:47,
2002-01,21.242,
2002-04,20.671,
2002-07,20.345,
2002-10,20.682,
2003-01,20.691,
2003-04,20.767,
2003-07,20.569,
2003-10,20.688,
2004-01,20.669,
2004-04,19.771,
2004-07,19.386,
2004-10,19.358,
2005-01,17.054,
2005-04,17.065,
2005-07,17.254,
2005-10,17.264,
2006-01,16.939,
2006-04,16.545,
2006-07,15.492,
2006-10,14.889,
2007-01,14.656,
2007-04,13.944,
2007-07,13.306,
2007-10,13.379,
2008-01,12.942,
2008-04,12.403,
2008-07,11.875,
2008-10,11.623,
2009-01,12.098,
2009-04,12.706,
2009-07,13.250,
2009-10,13.631,
2010-01,13.767,
2010-04,14.226,
2010-07,14.419,
2010-10,14.731,
2011-01,14.772,
2011-04,14.889,
2011-07,14.856,
2011-10,14.692,
2012-01,14.827,
2012-04,14.997,
2012-07,15.241,
2012-10,15.641,
2013-01,16.036,
2013-04,16.370,
2013-07,16.572,
2013-10,17.328,
2014-01,17.650,
2014-04,18.155,
2014-07,18.287,
