"",BBK01.OEXL09T,BBK01.OEXL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:45,
2002-01,0.314,
2002-04,0.304,
2002-07,0.320,
2002-10,0.304,
2003-01,0.271,
2003-04,0.242,
2003-07,0.220,
2003-10,0.209,
2004-01,0.192,
2004-04,0.177,
2004-07,0.166,
2004-10,0.158,
2005-01,0.165,
2005-04,0.153,
2005-07,0.130,
2005-10,0.125,
2006-01,0.126,
2006-04,0.136,
2006-07,0.139,
2006-10,0.156,
2007-01,0.248,
2007-04,0.281,
2007-07,0.312,
2007-10,0.371,
2008-01,0.398,
2008-04,0.416,
2008-07,0.441,
2008-10,0.573,
2009-01,0.543,
2009-04,0.516,
2009-07,0.511,
2009-10,0.434,
2010-01,0.370,
2010-04,0.357,
2010-07,0.349,
2010-10,0.422,
2011-01,0.485,
2011-04,0.504,
2011-07,0.513,
2011-10,0.504,
2012-01,0.479,
2012-04,0.474,
2012-07,0.448,
2012-10,0.389,
2013-01,0.335,
2013-04,0.295,
2013-07,0.279,
2013-10,0.263,
2014-01,0.249,
2014-04,0.240,
2014-07,0.280,
