"",BBK01.OECJ05P,BBK01.OECJ05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:39,
2002-01,0.005,
2002-04,0.003,
2002-07,0.003,
2002-10,0.003,
2003-01,0.003,
2003-04,0.003,
2003-07,0.036,
2003-10,0.034,
2004-01,0.034,
2004-04,0.034,
2004-07,0.034,
2004-10,0.001,
2005-01,0.030,
2005-04,0.028,
2005-07,0.033,
2005-10,0.033,
2006-01,0.043,
2006-04,0.043,
2006-07,0.043,
2006-10,0.043,
2007-01,0.038,
2007-04,0.038,
2007-07,0.048,
2007-10,0.053,
2008-01,0.048,
2008-04,0.045,
2008-07,0.045,
2008-10,0.045,
2009-01,0.045,
2009-04,0.054,
2009-07,0.056,
2009-10,0.056,
2010-01,0.056,
2010-04,0.056,
2010-07,0.056,
2010-10,0.061,
2011-01,0.061,
2011-04,0.050,
2011-07,0.038,
2011-10,0.037,
2012-01,0.044,
2012-04,0.044,
2012-07,0.040,
2012-10,0.040,
2013-01,0.040,
2013-04,0.037,
2013-07,0.037,
2013-10,0.038,
2014-01,0.034,
2014-04,0.034,
2014-07,0.034,
