"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:02,
1991-01,-202.929,
1991-04,-508.462,
1991-07,-416.121,
1991-10,-721.433,
1992-01,-826.101,
1992-04,-493.855,
1992-07,-1504.488,
1992-10,-1843.673,
1993-01,-1479.621,
1993-04,-838.425,
1993-07,-1308.804,
1993-10,-1882.089,
1994-01,-1525.283,
1994-04,-1037.953,
1994-07,-2681.303,
1994-10,-1876.165,
1995-01,1513.249,
1995-04,-3572.842,
1995-07,-2197.906,
1995-10,-4466.513,
1996-01,-3300.112,
1996-04,-1651.934,
1996-07,-2456.701,
1996-10,-1227.475,
1997-01,-6834.865,
1997-04,-5808.517,
1997-07,-10388.832,
1997-10,-13145.113,
1998-01,-13079.015,
1998-04,-10134.241,
1998-07,-11525.271,
1998-10,-10945.514,
1999-01,-9446.078,
1999-04,-13016.850,
1999-07,-15707.851,
1999-10,-14359.019,
2000-01,-28611.483,
2000-04,-24478.559,
2000-07,-31488.912,
2000-10,-37860.515,
2001-01,-34549.581,
2001-04,-30668.854,
2001-07,-31750.717,
2001-10,-27695.852,
2002-01,-36019.680,
2002-04,-32357.356,
2002-07,-38223.566,
2002-10,-49937.274,
2003-01,-51329.573,
2003-04,-56162.998,
2003-07,-60318.950,
2003-10,-51188.572,
2004-01,-61338.866,
2004-04,-38411.956,
2004-07,-54881.097,
2004-10,-63463.573,
2005-01,-53174.699,
2005-04,-50146.637,
2005-07,-55452.080,
2005-10,-51043.507,
2006-01,-54700.521,
2006-04,-55663.378,
2006-07,-63854.683,
2006-10,-50305.578,
2007-01,-61301.199,
2007-04,-39857.642,
2007-07,-80824.137,
2007-10,-61880.902,
2008-01,-87515.407,
2008-04,-71146.946,
2008-07,-88281.201,
2008-10,-86922.221,
2009-01,-81381.333,
2009-04,-67788.361,
2009-07,-99353.672,
2009-10,-74047.408,
2010-01,-82505.126,
2010-04,-91242.707,
2010-07,-88072.515,
2010-10,-88971.282,
2011-01,-81400.750,
2011-04,-97913.241,
2011-07,-129720.130,
2011-10,-135345.127,
2012-01,-154774.491,
2012-04,-116983.431,
2012-07,-121162.927,
2012-10,-94681.312,
2013-01,-132068.820,
2013-04,-127543.059,
2013-07,-122627.271,
2013-10,-118464.916,
2014-01,-127516.878,Provisional value
2014-04,-136712.885,Provisional value
2014-07,-132117.693,Provisional value
2014-10,-121260.726,Provisional value
