"",BBK01.CEH01Q,BBK01.CEH01Q_FLAGS
"",External financing  (consolidated) debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:32,
1991-01,28.7,
1991-04,34.7,
1991-07,36.2,
1991-10,29.3,
1992-01,17.3,
1992-04,32.9,
1992-07,19.8,
1992-10,28.8,
1993-01,30.5,
1993-04,25.9,
1993-07,22.3,
1993-10,32.2,
1994-01,12.0,
1994-04,22.9,
1994-07,25.3,
1994-10,36.6,
1995-01,-64.5,
1995-04,21.9,
1995-07,19.2,
1995-10,-2.4,
1996-01,15.1,
1996-04,24.3,
1996-07,9.6,
1996-10,28.5,
1997-01,11.4,
1997-04,15.8,
1997-07,12.3,
1997-10,27.4,
1998-01,21.3,
1998-04,17.2,
1998-07,27.8,
1998-10,66.1,
1999-01,11.4,
1999-04,44.0,
1999-07,44.5,
1999-10,69.4,
2000-01,14.4,
2000-04,84.2,
2000-07,65.7,
2000-10,136.5,
2001-01,25.4,
2001-04,57.3,
2001-07,19.8,
2001-10,34.3,
2002-01,-8.2,
2002-04,23.5,
2002-07,9.9,
2002-10,5.5,
2003-01,8.1,
2003-04,10.2,
2003-07,-8.4,
2003-10,29.1,
2004-01,-4.2,
2004-04,5.4,
2004-07,-8.4,
2004-10,16.7,
2005-01,15.2,
2005-04,6.1,
2005-07,4.4,
2005-10,-1.3,
2006-01,14.6,
2006-04,32.2,
2006-07,22.3,
2006-10,14.3,
2007-01,42.5,
2007-04,26.1,
2007-07,23.7,
2007-10,30.2,
2008-01,11.1,
2008-04,29.4,
2008-07,15.5,
2008-10,4.8,
2009-01,9.7,
2009-04,2.4,
2009-07,-4.9,
2009-10,7.6,
2010-01,25.5,
2010-04,6.3,
2010-07,1.8,
2010-10,-3.1,
2011-01,1.4,
2011-04,21.5,
2011-07,31.8,
2011-10,25.5,
2012-01,-1.6,
2012-04,16.5,
2012-07,28.6,
2012-10,-7.1,
2013-01,32.0,
2013-04,22.9,
2013-07,-12.2,
2013-10,8.1,
2014-01,12.9,
