"",BBFB1.M.N.DE.W1.S1.S1.T.C.SL._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SL._Z._Z._Z._T._X.N_FLAGS
"",Current account / Government goods and services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:03,
1991-01,870.216,
1991-02,756.858,
1991-03,816.164,
1991-04,919.421,
1991-05,869.103,
1991-06,854.326,
1991-07,826.347,
1991-08,881.721,
1991-09,769.869,
1991-10,752.335,
1991-11,772.028,
1991-12,749.975,
1992-01,722.989,
1992-02,749.759,
1992-03,746.418,
1992-04,812.758,
1992-05,678.520,
1992-06,721.323,
1992-07,647.069,
1992-08,673.740,
1992-09,628.096,
1992-10,544.605,
1992-11,658.471,
1992-12,619.776,
1993-01,535.847,
1993-02,622.589,
1993-03,723.068,
1993-04,584.789,
1993-05,528.279,
1993-06,546.254,
1993-07,590.729,
1993-08,613.752,
1993-09,609.985,
1993-10,506.490,
1993-11,530.836,
1993-12,475.143,
1994-01,570.856,
1994-02,549.372,
1994-03,602.778,
1994-04,418.206,
1994-05,461.041,
1994-06,515.984,
1994-07,417.728,
1994-08,508.605,
1994-09,599.984,
1994-10,385.164,
1994-11,430.496,
1994-12,549.175,
1995-01,419.971,
1995-02,430.969,
1995-03,621.101,
1995-04,293.754,
1995-05,454.214,
1995-06,385.159,
1995-07,357.716,
1995-08,382.991,
1995-09,411.532,
1995-10,324.782,
1995-11,420.563,
1995-12,383.693,
1996-01,396.135,
1996-02,399.653,
1996-03,428.102,
1996-04,366.268,
1996-05,428.180,
1996-06,390.525,
1996-07,423.782,
1996-08,376.596,
1996-09,407.807,
1996-10,400.950,
1996-11,355.409,
1996-12,403.109,
1997-01,401.471,
1997-02,339.792,
1997-03,348.457,
1997-04,388.367,
1997-05,454.301,
1997-06,427.557,
1997-07,465.292,
1997-08,464.850,
1997-09,397.094,
1997-10,335.914,
1997-11,287.094,
1997-12,310.426,
1998-01,385.756,
1998-02,388.932,
1998-03,515.347,
1998-04,288.734,
1998-05,276.588,
1998-06,285.608,
1998-07,323.914,
1998-08,319.019,
1998-09,315.723,
1998-10,331.024,
1998-11,289.350,
1998-12,367.125,
1999-01,308.886,
1999-02,248.516,
1999-03,277.745,
1999-04,271.241,
1999-05,296.479,
1999-06,297.558,
1999-07,281.217,
1999-08,291.451,
1999-09,298.582,
1999-10,270.607,
1999-11,313.725,
1999-12,363.702,
2000-01,299.860,
2000-02,314.082,
2000-03,341.083,
2000-04,251.895,
2000-05,308.257,
2000-06,268.148,
2000-07,305.602,
2000-08,344.838,
2000-09,331.294,
2000-10,305.631,
2000-11,334.199,
2000-12,383.393,
2001-01,377.931,
2001-02,372.255,
2001-03,443.237,
2001-04,337.801,
2001-05,431.571,
2001-06,426.915,
2001-07,392.662,
2001-08,414.763,
2001-09,392.592,
2001-10,433.157,
2001-11,440.374,
2001-12,501.302,
2002-01,488.834,
2002-02,421.240,
2002-03,421.250,
2002-04,568.222,
2002-05,507.812,
2002-06,519.635,
2002-07,559.763,
2002-08,999.593,
2002-09,502.629,
2002-10,513.493,
2002-11,525.223,
2002-12,666.125,
2003-01,544.471,
2003-02,521.604,
2003-03,552.322,
2003-04,553.550,
2003-05,520.239,
2003-06,540.890,
2003-07,598.401,
2003-08,520.420,
2003-09,555.119,
2003-10,523.999,
2003-11,497.937,
2003-12,654.143,
2004-01,508.234,
2004-02,490.220,
2004-03,562.638,
2004-04,561.697,
2004-05,545.480,
2004-06,625.532,
2004-07,571.523,
2004-08,523.766,
2004-09,589.152,
2004-10,473.305,
2004-11,469.406,
2004-12,556.137,
2005-01,450.923,
2005-02,404.600,
2005-03,443.630,
2005-04,374.376,
2005-05,375.738,
2005-06,424.522,
2005-07,388.675,
2005-08,488.742,
2005-09,403.668,
2005-10,387.737,
2005-11,414.621,
2005-12,561.508,
2006-01,397.967,
2006-02,410.104,
2006-03,385.417,
2006-04,470.796,
2006-05,396.411,
2006-06,479.525,
2006-07,381.451,
2006-08,380.098,
2006-09,398.700,
2006-10,388.517,
2006-11,447.257,
2006-12,521.824,
2007-01,375.298,
2007-02,334.933,
2007-03,394.814,
2007-04,411.040,
2007-05,405.207,
2007-06,424.552,
2007-07,402.417,
2007-08,365.552,
2007-09,391.365,
2007-10,386.208,
2007-11,360.611,
2007-12,401.884,
2008-01,274.562,
2008-02,284.782,
2008-03,305.399,
2008-04,305.526,
2008-05,286.091,
2008-06,255.871,
2008-07,319.663,
2008-08,271.171,
2008-09,300.494,
2008-10,297.147,
2008-11,279.153,
2008-12,313.735,
2009-01,323.168,
2009-02,304.311,
2009-03,384.618,
2009-04,307.361,
2009-05,293.024,
2009-06,294.744,
2009-07,293.250,
2009-08,285.291,
2009-09,291.258,
2009-10,288.550,
2009-11,291.011,
2009-12,280.674,
2010-01,296.805,
2010-02,295.365,
2010-03,309.488,
2010-04,296.029,
2010-05,307.242,
2010-06,309.573,
2010-07,304.568,
2010-08,307.214,
2010-09,311.899,
2010-10,312.718,
2010-11,386.837,
2010-12,314.808,
2011-01,342.424,
2011-02,318.604,
2011-03,317.825,
2011-04,323.256,
2011-05,307.824,
2011-06,305.788,
2011-07,303.080,
2011-08,303.045,
2011-09,312.353,
2011-10,303.601,
2011-11,332.156,
2011-12,316.320,
2012-01,320.547,
2012-02,306.132,
2012-03,315.162,
2012-04,341.074,
2012-05,339.528,
2012-06,333.355,
2012-07,334.849,
2012-08,328.901,
2012-09,326.817,
2012-10,345.094,
2012-11,337.432,
2012-12,319.105,
2013-01,339.534,
2013-02,329.793,
2013-03,344.502,
2013-04,345.286,
2013-05,344.936,
2013-06,331.611,
2013-07,335.906,
2013-08,325.950,
2013-09,339.987,
2013-10,351.084,
2013-11,344.265,
2013-12,341.194,
2014-01,319.960,
2014-02,303.042,Provisional value
2014-03,319.444,Provisional value
2014-04,342.909,Provisional value
2014-05,301.779,Provisional value
2014-06,317.926,Provisional value
2014-07,324.084,Provisional value
2014-08,325.244,Provisional value
2014-09,343.548,
2014-10,348.993,
2014-11,351.050,
2014-12,342.896,Provisional value
