"",BBK01.OELB09H,BBK01.OELB09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:22,
2002-01,8.730,
2002-04,8.632,
2002-07,8.487,
2002-10,8.368,
2003-01,8.229,
2003-04,8.144,
2003-07,8.025,
2003-10,7.833,
2004-01,7.759,
2004-04,7.664,
2004-07,7.572,
2004-10,7.435,
2005-01,7.542,
2005-04,7.421,
2005-07,7.338,
2005-10,7.306,
2006-01,7.423,
2006-04,7.338,
2006-07,7.345,
2006-10,7.362,
2007-01,7.466,
2007-04,7.511,
2007-07,7.618,
2007-10,7.855,
2008-01,8.018,
2008-04,8.158,
2008-07,8.336,
2008-10,8.512,
2009-01,8.704,
2009-04,8.856,
2009-07,8.937,
2009-10,9.074,
2010-01,9.300,
2010-04,9.569,
2010-07,9.651,
2010-10,9.962,
2011-01,10.282,
2011-04,10.635,
2011-07,10.902,
2011-10,11.327,
2012-01,11.802,
2012-04,12.358,
2012-07,12.654,
2012-10,13.037,
2013-01,13.452,
2013-04,13.895,
2013-07,14.201,
2013-10,14.539,
2014-01,14.856,
2014-04,15.142,
2014-07,15.420,
