"",BBK01.OEAC44O,BBK01.OEAC44O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:15,
2002-01,1.341,
2002-04,1.331,
2002-07,1.332,
2002-10,1.307,
2003-01,1.297,
2003-04,1.293,
2003-07,1.267,
2003-10,1.239,
2004-01,1.225,
2004-04,1.232,
2004-07,1.215,
2004-10,1.192,
2005-01,1.174,
2005-04,1.176,
2005-07,1.175,
2005-10,1.137,
2006-01,1.142,
2006-04,1.137,
2006-07,1.139,
2006-10,1.125,
2007-01,1.126,
2007-04,1.128,
2007-07,1.114,
2007-10,1.079,
2008-01,1.070,
2008-04,1.074,
2008-07,1.052,
2008-10,1.022,
2009-01,0.978,
2009-04,1.002,
2009-07,0.998,
2009-10,1.013,
2010-01,1.021,
2010-04,1.036,
2010-07,1.088,
2010-10,1.128,
2011-01,1.063,
2011-04,1.073,
2011-07,1.096,
2011-10,1.081,
2012-01,1.104,
2012-04,1.151,
2012-07,1.162,
2012-10,1.161,
2013-01,1.161,
2013-04,1.142,
2013-07,1.153,
2013-10,1.127,
2014-01,1.144,
2014-04,1.152,
2014-07,1.150,
