"",BBSF2.M.1.T.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Funds total / Equity funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:18,
2009-09,255,
2009-10,204,
2009-11,177,
2009-12,192,
2010-01,250,
2010-02,401,
2010-03,295,
2010-04,285,
2010-05,273,
2010-06,392,
2010-07,316,
2010-08,318,
2010-09,238,
2010-10,145,
2010-11,183,
2010-12,886,
2011-01,982,
2011-02,1091,
2011-03,1025,
2011-04,1236,
2011-05,1338,
2011-06,1494,
2011-07,1558,
2011-08,1089,
2011-09,840,
2011-10,553,
2011-11,742,
2011-12,673,
2012-01,671,
2012-02,447,
2012-03,463,
2012-04,171,
2012-05,173,
2012-06,175,
2012-07,177,
2012-08,321,
2012-09,323,
2012-10,187,
2012-11,185,
2012-12,116,
2013-01,97,
2013-02,73,
2013-03,44,
2013-04,23,
2013-05,21,
2013-06,124,
2013-07,107,
2013-08,97,
2013-09,139,
2013-10,166,
2013-11,76,
2013-12,270,
2014-01,309,
2014-02,313,
2014-03,323,
2014-04,285,
2014-05,289,
2014-06,216,
2014-07,226,
2014-08,178,
2014-09,198,
2014-10,165,
2014-11,270,
