"",BBK01.SU0514,BBK01.SU0514_FLAGS
"",Deposit rates of banks / Higher-yielding sight deposits of individuals / Highest rate of spread,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:11,
1996-11,3.00,
1996-12,3.00,
1997-01,3.00,
1997-02,3.00,
1997-03,3.00,
1997-04,3.00,
1997-05,3.00,
1997-06,3.00,
1997-07,3.00,
1997-08,3.00,
1997-09,3.00,
1997-10,3.00,
1997-11,3.00,
1997-12,3.00,
1998-01,3.00,
1998-02,3.00,
1998-03,3.00,
1998-04,3.00,
1998-05,3.00,
1998-06,3.00,
1998-07,3.00,
1998-08,3.00,
1998-09,3.00,
1998-10,3.00,
1998-11,3.00,
1998-12,3.00,
1999-01,3.00,
1999-02,3.00,
1999-03,2.80,
1999-04,2.80,
1999-05,2.57,
1999-06,2.50,
1999-07,2.50,
1999-08,2.50,
1999-09,2.50,
1999-10,2.50,
1999-11,2.50,
1999-12,2.83,
2000-01,2.70,
2000-02,2.75,
2000-03,2.96,
2000-04,3.00,
2000-05,3.22,
2000-06,3.50,
2000-07,3.50,
2000-08,3.53,
2000-09,3.76,
2000-10,3.88,
2000-11,3.94,
2000-12,4.00,
2001-01,4.00,
2001-02,4.00,
2001-03,4.00,
2001-04,4.00,
2001-05,4.00,
2001-06,3.90,
2001-07,3.88,
2001-08,3.75,
2001-09,3.50,
2001-10,3.24,
2001-11,2.96,
2001-12,2.95,
2002-01,2.85,
2002-02,2.85,
2002-03,2.80,
2002-04,3.00,
2002-05,2.75,
2002-06,2.75,
2002-07,2.80,
2002-08,2.75,
2002-09,2.75,
2002-10,2.75,
2002-11,2.75,
2002-12,2.55,
2003-01,2.50,
2003-02,2.38,
2003-03,2.25,
2003-04,2.25,
2003-05,2.25,
2003-06,2.10,
"",General: The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range.,
