"",BBK01.OEBO06T,BBK01.OEBO06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:44,
2002-01,1.295,
2002-04,1.070,
2002-07,1.086,
2002-10,1.127,
2003-01,1.141,
2003-04,1.111,
2003-07,1.121,
2003-10,1.121,
2004-01,1.098,
2004-04,1.080,
2004-07,1.085,
2004-10,1.090,
2005-01,1.858,
2005-04,1.840,
2005-07,1.795,
2005-10,1.812,
2006-01,1.802,
2006-04,1.768,
2006-07,1.724,
2006-10,1.747,
2007-01,1.837,
2007-04,1.849,
2007-07,1.848,
2007-10,1.926,
2008-01,1.944,
2008-04,1.970,
2008-07,1.958,
2008-10,2.086,
2009-01,2.118,
2009-04,2.122,
2009-07,2.202,
2009-10,2.175,
2010-01,2.119,
2010-04,2.100,
2010-07,2.110,
2010-10,2.194,
2011-01,2.244,
2011-04,2.202,
2011-07,2.158,
2011-10,2.155,
2012-01,2.218,
2012-04,2.183,
2012-07,2.176,
2012-10,2.177,
2013-01,2.095,
2013-04,2.045,
2013-07,2.020,
2013-10,2.007,
2014-01,1.974,
2014-04,1.945,
2014-07,2.021,
