"",BBK01.OEHB10V,BBK01.OEHB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:43,
2002-01,0.785,
2002-04,0.781,
2002-07,0.775,
2002-10,0.754,
2003-01,0.729,
2003-04,0.743,
2003-07,0.713,
2003-10,0.682,
2004-01,0.659,
2004-04,0.678,
2004-07,0.657,
2004-10,0.647,
2005-01,0.669,
2005-04,0.637,
2005-07,0.572,
2005-10,0.548,
2006-01,0.590,
2006-04,0.552,
2006-07,0.519,
2006-10,0.509,
2007-01,0.521,
2007-04,0.523,
2007-07,0.543,
2007-10,0.525,
2008-01,0.577,
2008-04,0.559,
2008-07,0.579,
2008-10,0.525,
2009-01,0.533,
2009-04,0.629,
2009-07,0.498,
2009-10,0.437,
2010-01,0.490,
2010-04,0.444,
2010-07,0.453,
2010-10,0.434,
2011-01,0.411,
2011-04,0.442,
2011-07,0.439,
2011-10,0.400,
2012-01,0.418,
2012-04,0.412,
2012-07,0.449,
2012-10,0.444,
2013-01,0.423,
2013-04,0.431,
2013-07,0.411,
2013-10,0.393,
2014-01,0.379,
2014-04,0.401,
2014-07,0.404,
