"",BBK01.OEBO02O,BBK01.OEBO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:31,
2002-01,-0.823,
2002-04,-0.606,
2002-07,-0.681,
2002-10,-0.696,
2003-01,-0.900,
2003-04,-0.890,
2003-07,-0.775,
2003-10,-0.842,
2004-01,-1.092,
2004-04,-1.044,
2004-07,-0.603,
2004-10,-0.790,
2005-01,0.622,
2005-04,0.519,
2005-07,0.448,
2005-10,0.512,
2006-01,0.654,
2006-04,0.572,
2006-07,0.508,
2006-10,0.589,
2007-01,0.944,
2007-04,0.608,
2007-07,0.602,
2007-10,0.730,
2008-01,0.756,
2008-04,0.713,
2008-07,0.565,
2008-10,1.097,
2009-01,0.760,
2009-04,0.738,
2009-07,0.834,
2009-10,0.701,
2010-01,0.758,
2010-04,0.489,
2010-07,0.436,
2010-10,0.750,
2011-01,0.761,
2011-04,0.524,
2011-07,0.522,
2011-10,0.519,
2012-01,0.853,
2012-04,0.440,
2012-07,0.471,
2012-10,0.480,
2013-01,0.551,
2013-04,0.362,
2013-07,0.307,
2013-10,0.297,
2014-01,0.280,
2014-04,0.220,
2014-07,0.522,
