"",BBK01.OEAE10P,BBK01.OEAE10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:06,
2002-01,1.164,
2002-04,1.165,
2002-07,1.186,
2002-10,0.870,
2003-01,0.864,
2003-04,0.849,
2003-07,0.814,
2003-10,0.756,
2004-01,0.658,
2004-04,0.638,
2004-07,0.651,
2004-10,0.674,
2005-01,0.668,
2005-04,0.657,
2005-07,0.612,
2005-10,0.606,
2006-01,0.592,
2006-04,0.625,
2006-07,0.618,
2006-10,0.657,
2007-01,0.590,
2007-04,0.541,
2007-07,0.546,
2007-10,0.539,
2008-01,0.518,
2008-04,0.535,
2008-07,0.545,
2008-10,0.573,
2009-01,0.518,
2009-04,0.525,
2009-07,0.488,
2009-10,0.512,
2010-01,0.547,
2010-04,0.485,
2010-07,0.454,
2010-10,0.481,
2011-01,0.482,
2011-04,0.478,
2011-07,0.423,
2011-10,0.509,
2012-01,0.543,
2012-04,0.528,
2012-07,0.516,
2012-10,0.465,
2013-01,0.466,
2013-04,0.492,
2013-07,0.424,
2013-10,0.420,
2014-01,0.447,
2014-04,0.440,
2014-07,0.404,
