"",BBK01.OEHK01U,BBK01.OEHK01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:28,
2002-01,0.501,
2002-04,0.510,
2002-07,0.522,
2002-10,0.544,
2003-01,0.519,
2003-04,0.528,
2003-07,0.544,
2003-10,0.548,
2004-01,0.524,
2004-04,0.520,
2004-07,0.532,
2004-10,0.565,
2005-01,0.523,
2005-04,0.534,
2005-07,0.545,
2005-10,0.566,
2006-01,0.537,
2006-04,0.549,
2006-07,0.577,
2006-10,0.612,
2007-01,0.594,
2007-04,0.604,
2007-07,0.631,
2007-10,0.655,
2008-01,0.634,
2008-04,0.649,
2008-07,0.675,
2008-10,0.741,
2009-01,0.690,
2009-04,0.702,
2009-07,0.733,
2009-10,0.756,
2010-01,0.716,
2010-04,0.719,
2010-07,0.742,
2010-10,0.781,
2011-01,0.779,
2011-04,0.786,
2011-07,0.824,
2011-10,0.848,
2012-01,0.822,
2012-04,0.840,
2012-07,0.859,
2012-10,0.885,
2013-01,0.849,
2013-04,0.854,
2013-07,0.885,
2013-10,0.921,
2014-01,0.904,
2014-04,0.918,
2014-07,0.946,
