"",BBK01.OEXB15V,BBK01.OEXB15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:35,
2002-01,0.262,
2002-04,0.272,
2002-07,0.270,
2002-10,0.287,
2003-01,0.303,
2003-04,0.240,
2003-07,0.238,
2003-10,0.230,
2004-01,0.237,
2004-04,0.224,
2004-07,0.226,
2004-10,0.234,
2005-01,0.236,
2005-04,0.242,
2005-07,0.239,
2005-10,0.238,
2006-01,0.238,
2006-04,0.243,
2006-07,0.241,
2006-10,0.246,
2007-01,0.262,
2007-04,0.263,
2007-07,0.269,
2007-10,0.242,
2008-01,0.246,
2008-04,0.259,
2008-07,0.259,
2008-10,0.276,
2009-01,0.277,
2009-04,0.275,
2009-07,0.261,
2009-10,0.281,
2010-01,0.275,
2010-04,0.275,
2010-07,0.270,
2010-10,0.271,
2011-01,0.268,
2011-04,0.272,
2011-07,0.273,
2011-10,0.272,
2012-01,0.270,
2012-04,0.273,
2012-07,0.266,
2012-10,0.261,
2013-01,0.257,
2013-04,0.259,
2013-07,0.261,
2013-10,0.261,
2014-01,0.263,
2014-04,0.220,
2014-07,0.218,
