"",BBK01.OUG213,BBK01.OUG213_FLAGS
"",Time deposits of the federal states / for up and including 1 year / Landesbanken,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:24:30,
1968-12,0.208,
1969-01,0.333,
1969-02,0.334,
1969-03,0.323,
1969-04,0.271,
1969-05,0.227,
1969-06,0.280,
1969-07,0.258,
1969-08,0.248,
1969-09,0.314,
1969-10,0.298,
1969-11,0.232,
1969-12,0.291,
1970-01,0.245,
1970-02,0.246,
1970-03,0.171,
1970-04,0.186,
1970-05,0.235,
1970-06,0.221,
1970-07,0.096,
1970-08,0.205,
1970-09,0.252,
1970-10,0.168,
1970-11,0.140,
1970-12,0.102,
1971-01,0.162,
1971-02,0.200,
1971-03,0.213,
1971-04,0.203,
1971-05,0.225,
1971-06,0.203,
1971-07,0.139,
1971-08,0.136,
1971-09,0.144,
1971-10,0.072,
1971-11,0.018,
1971-12,0.054,
1972-01,0.108,
1972-02,0.214,
1972-03,0.186,
1972-04,0.111,
1972-05,0.119,
1972-06,0.208,
1972-07,0.385,
1972-08,0.464,
1972-09,0.527,
1972-10,0.537,
1972-11,0.542,
1972-12,0.386,
1973-01,0.442,
1973-02,0.487,
1973-03,0.495,
1973-04,0.476,
1973-05,0.464,
1973-06,0.479,
1973-07,0.472,
1973-08,0.461,
1973-09,0.490,
1973-10,0.381,
1973-11,0.358,
1973-12,0.421,
1974-01,0.319,
1974-02,0.335,
1974-03,0.403,
1974-04,0.355,
1974-05,0.397,
1974-06,0.435,
1974-07,0.403,
1974-08,0.455,
1974-09,0.490,
1974-10,0.451,
1974-11,0.447,
1974-12,0.462,
1975-01,0.426,
1975-02,0.595,
1975-03,0.622,
1975-04,0.397,
1975-05,0.332,
1975-06,0.380,
1975-07,0.441,
1975-08,0.476,
1975-09,0.539,
1975-10,0.542,
1975-11,0.522,
1975-12,0.392,
1976-01,0.491,
1976-02,0.577,
1976-03,0.935,
1976-04,0.667,
1976-05,0.471,
1976-06,0.621,
1976-07,0.627,
1976-08,0.647,
1976-09,0.697,
