"",BBFB1.Q.N.DE.JP.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:12,
1991-01,-2847.515,
1991-04,-3988.486,
1991-07,-3684.277,
1991-10,-2722.285,
1992-01,-3463.973,
1992-04,-3964.462,
1992-07,-3416.784,
1992-10,-2952.232,
1993-01,-2980.799,
1993-04,-3135.666,
1993-07,-2820.990,
1993-10,-1946.849,
1994-01,-2435.141,
1994-04,-2278.847,
1994-07,-2074.432,
1994-10,-2344.408,
1995-01,-2319.694,
1995-04,-2582.016,
1995-07,-2185.332,
1995-10,-2330.572,
1996-01,-2145.029,
1996-04,-2095.071,
1996-07,-1683.500,
1996-10,-1538.083,
1997-01,-2011.794,
1997-04,-2594.386,
1997-07,-2399.196,
1997-10,-2846.171,
1998-01,-3079.181,
1998-04,-3464.323,
1998-07,-2931.783,
1998-10,-2911.997,
1999-01,-3105.878,
1999-04,-3031.313,
1999-07,-2775.469,
1999-10,-2995.980,
2000-01,-3732.601,
2000-04,-3623.316,
2000-07,-3381.993,
2000-10,-3857.908,
2001-01,-3190.192,
2001-04,-3292.799,
2001-07,-2356.227,
2001-10,-2233.503,
2002-01,-1892.687,
2002-04,-2232.425,
2002-07,-2064.082,
2002-10,-2282.288,
2003-01,-2414.580,
2003-04,-2541.587,
2003-07,-1730.582,
2003-10,-2033.774,
2004-01,-2595.607,
2004-04,-3053.252,
2004-07,-2476.425,
2004-10,-2773.514,
2005-01,-1865.011,
2005-04,-2776.575,
2005-07,-2295.977,
2005-10,-3227.442,
2006-01,-2964.365,
2006-04,-3231.147,
2006-07,-2655.808,
2006-10,-3057.835,
2007-01,-3450.283,
2007-04,-3163.591,
2007-07,-2945.610,
2007-10,-3364.960,
2008-01,-3203.785,
2008-04,-3152.625,
2008-07,-2825.716,
2008-10,-3230.483,
2009-01,-2902.369,
2009-04,-2291.504,
2009-07,-2027.149,
2009-10,-2267.695,
2010-01,-2756.671,
2010-04,-3050.317,
2010-07,-2980.956,
2010-10,-3197.606,
2011-01,-2998.220,
2011-04,-3143.616,
2011-07,-2581.910,
2011-10,-2627.557,
2012-01,-2122.610,
2012-04,-2427.349,
2012-07,-1792.047,
2012-10,-1543.785,
2013-01,-1431.112,
2013-04,-1397.936,
2013-07,-812.236,
2013-10,-580.674,
2014-01,-810.303,Provisional value
2014-04,-1134.533,Provisional value
2014-07,-472.571,Provisional value
