"",BBK01.OUN369,BBK01.OUN369_FLAGS
"",Loans to foreign enterprises and households for up to and including one year / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:18,
1999-01,0.462,
1999-02,0.475,
1999-03,0.490,
1999-04,0.468,
1999-05,0.489,
1999-06,0.512,
1999-07,0.494,
1999-08,0.545,
1999-09,0.706,
1999-10,0.715,
1999-11,0.652,
1999-12,0.678,
2000-01,0.692,
2000-02,0.694,
2000-03,0.710,
2000-04,0.720,
2000-05,0.728,
2000-06,0.753,
2000-07,0.640,
2000-08,0.614,
2000-09,0.688,
2000-10,0.925,
2000-11,0.888,
2000-12,1.396,
2001-01,1.103,
2001-02,1.044,
2001-03,1.199,
2001-04,0.892,
2001-05,0.972,
2001-06,1.300,
2001-07,1.442,
2001-08,1.109,
2001-09,1.104,
2001-10,1.156,
2001-11,0.944,
2001-12,0.804,
2002-01,0.874,
2002-02,0.883,
2002-03,0.984,
2002-04,0.953,
2002-05,0.830,
2002-06,0.892,
2002-07,0.877,
2002-08,0.968,
2002-09,0.887,
2002-10,0.904,
2002-11,0.887,
2002-12,0.739,
2003-01,0.678,
2003-02,1.151,
2003-03,0.692,
2003-04,0.686,
2003-05,0.638,
2003-06,0.686,
2003-07,0.693,
2003-08,0.687,
2003-09,0.625,
2003-10,0.647,
2003-11,0.692,
2003-12,0.812,
2004-01,0.782,
2004-02,0.657,
2004-03,0.710,
2004-04,0.718,
2004-05,0.707,
2004-06,0.745,
2004-07,0.969,
2004-08,1.006,
2004-09,1.270,
2004-10,1.543,
2004-11,1.469,
2004-12,1.452,
2005-01,1.514,
2005-02,1.687,
2005-03,1.594,
2005-04,1.588,
2005-05,1.598,
2005-06,2.006,
2005-07,2.068,
2005-08,2.059,
2005-09,2.074,
2005-10,2.282,
2005-11,2.342,
2005-12,1.901,
2006-01,1.790,
2006-02,2.071,
2006-03,2.070,
2006-04,2.377,
2006-05,2.392,
2006-06,2.545,
2006-07,2.443,
2006-08,2.354,
2006-09,2.402,
2006-10,2.228,
2006-11,2.772,
2006-12,3.043,
2007-01,3.177,
2007-02,3.366,
2007-03,3.296,
2007-04,3.298,
2007-05,3.175,
2007-06,1.849,
2007-07,1.938,
2007-08,6.019,
2007-09,8.187,
2007-10,8.619,
2007-11,9.051,
2007-12,6.193,
2008-01,5.629,
2008-02,5.256,
2008-03,3.435,
2008-04,3.634,
2008-05,3.379,
2008-06,3.386,
2008-07,3.166,
2008-08,2.890,
2008-09,3.233,
2008-10,3.236,
2008-11,2.830,
2008-12,2.556,
2009-01,2.844,
2009-02,2.832,
2009-03,2.688,
2009-04,2.636,
2009-05,2.468,
2009-06,2.338,
2009-07,2.186,
2009-08,2.367,
2009-09,2.149,
2009-10,1.949,
2009-11,2.156,
2009-12,1.963,
2010-01,2.055,
2010-02,2.093,
2010-03,1.937,
2010-04,2.010,
2010-05,1.783,
2010-06,1.911,
2010-07,1.862,
2010-08,1.703,
2010-09,1.784,
2010-10,1.810,
2010-11,1.991,
2010-12,2.088,
2011-01,2.026,
2011-02,1.945,
2011-03,1.595,
2011-04,1.721,
2011-05,1.874,
2011-06,1.871,
2011-07,2.068,
2011-08,2.023,
2011-09,1.484,
2011-10,1.878,
2011-11,2.101,
2011-12,1.363,
2012-01,1.547,
2012-02,1.211,
2012-03,1.525,
2012-04,1.677,
2012-05,1.705,
2012-06,1.931,
2012-07,1.962,
2012-08,2.018,
2012-09,2.062,
2012-10,1.823,
2012-11,1.661,
2012-12,1.739,
2013-01,1.608,
2013-02,1.618,
2013-03,2.310,
2013-04,2.475,
2013-05,2.384,
2013-06,2.282,
2013-07,2.371,
2013-08,2.713,
2013-09,2.564,
2013-10,2.670,
2013-11,2.742,
2013-12,2.665,
2014-01,2.715,
2014-02,2.778,
2014-03,2.930,
2014-04,4.041,
2014-05,4.215,
2014-06,3.561,
2014-07,3.541,
2014-08,3.619,
2014-09,3.128,
2014-10,3.251,
2014-11,3.206,
2014-12,3.254,Provisional value
