"",BBK01.OEAC43P,BBK01.OEAC43P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:08,
2002-01,0.079,
2002-04,0.080,
2002-07,0.072,
2002-10,0.074,
2003-01,0.064,
2003-04,0.063,
2003-07,0.064,
2003-10,0.059,
2004-01,0.054,
2004-04,0.048,
2004-07,0.047,
2004-10,0.043,
2005-01,0.038,
2005-04,0.042,
2005-07,0.042,
2005-10,0.040,
2006-01,0.042,
2006-04,0.037,
2006-07,0.040,
2006-10,0.041,
2007-01,0.040,
2007-04,0.039,
2007-07,0.037,
2007-10,0.037,
2008-01,0.041,
2008-04,0.040,
2008-07,0.038,
2008-10,0.037,
2009-01,0.033,
2009-04,0.034,
2009-07,0.036,
2009-10,0.035,
2010-01,0.042,
2010-04,0.046,
2010-07,0.044,
2010-10,0.043,
2011-01,0.044,
2011-04,0.046,
2011-07,0.073,
2011-10,0.072,
2012-01,0.071,
2012-04,0.077,
2012-07,0.079,
2012-10,0.088,
2013-01,0.074,
2013-04,0.079,
2013-07,0.080,
2013-10,0.082,
2014-01,0.076,
2014-04,0.068,
2014-07,0.076,
