"",BBK01.OEHL03J,BBK01.OEHL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:41,
2002-01,0.283,
2002-04,0.277,
2002-07,0.272,
2002-10,0.262,
2003-01,0.243,
2003-04,0.228,
2003-07,0.225,
2003-10,0.196,
2004-01,0.172,
2004-04,0.160,
2004-07,0.142,
2004-10,0.133,
2005-01,0.115,
2005-04,0.093,
2005-07,0.075,
2005-10,0.065,
2006-01,0.054,
2006-04,0.059,
2006-07,0.055,
2006-10,0.054,
2007-01,0.048,
2007-04,0.047,
2007-07,0.067,
2007-10,0.089,
2008-01,0.119,
2008-04,0.154,
2008-07,0.180,
2008-10,0.212,
2009-01,0.145,
2009-04,0.103,
2009-07,0.065,
2009-10,0.036,
2010-01,0.028,
2010-04,0.026,
2010-07,0.025,
2010-10,0.025,
2011-01,0.024,
2011-04,0.043,
2011-07,0.050,
2011-10,0.052,
2012-01,0.044,
2012-04,0.039,
2012-07,0.038,
2012-10,0.046,
2013-01,0.037,
2013-04,0.037,
2013-07,0.036,
2013-10,0.036,
2014-01,0.032,
2014-04,0.032,
2014-07,0.033,
