"",BBK01.OEAE22I,BBK01.OEAE22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:26,
2002-01,0.748,
2002-04,0.767,
2002-07,0.701,
2002-10,0.692,
2003-01,0.672,
2003-04,0.701,
2003-07,0.656,
2003-10,0.516,
2004-01,0.547,
2004-04,0.548,
2004-07,0.548,
2004-10,0.538,
2005-01,0.604,
2005-04,0.544,
2005-07,0.577,
2005-10,0.569,
2006-01,0.419,
2006-04,0.422,
2006-07,0.460,
2006-10,0.525,
2007-01,0.509,
2007-04,0.536,
2007-07,0.529,
2007-10,0.530,
2008-01,0.708,
2008-04,0.912,
2008-07,1.027,
2008-10,1.672,
2009-01,1.660,
2009-04,1.827,
2009-07,2.034,
2009-10,2.103,
2010-01,2.173,
2010-04,2.171,
2010-07,1.761,
2010-10,1.667,
2011-01,2.037,
2011-04,2.252,
2011-07,2.112,
2011-10,2.303,
2012-01,2.385,
2012-04,2.272,
2012-07,2.273,
2012-10,2.019,
2013-01,1.914,
2013-04,1.800,
2013-07,1.729,
2013-10,1.623,
2014-01,1.748,
2014-04,1.910,
2014-07,1.821,
