"",BBFN1.M.DE.N.1.L.FI.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FI.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:57,
1982-09,0.012,
1982-10,0.013,
1982-11,0.013,
1982-12,0.013,
1983-01,0.013,
1983-02,0.012,
1983-03,0.012,
1983-04,0.012,
1983-05,0.012,
1983-06,0.011,
1983-07,0.011,
1983-08,0.011,
1983-09,0.010,
1983-10,0.010,
1983-11,0.010,
1983-12,0.009,
1984-01,0.009,
1984-02,0.009,
1984-03,0.004,
1984-04,0.004,
1984-05,0.004,
1984-06,0.003,
1984-07,0.003,
1984-08,0.003,
1984-09,0.003,
1984-10,0.003,
1984-11,0.003,
1984-12,0.003,
1985-01,0.003,
1985-02,0.012,
1985-03,0.010,
1985-04,0.010,
1985-05,0.010,
1985-06,0.012,
1985-07,0.013,
1985-08,0.013,
1985-09,0.013,
1985-10,0.013,
1985-11,0.013,
1985-12,0.012,
1986-01,0.012,
1986-02,0.012,
1986-03,0.012,
1986-04,0.013,
1986-05,0.012,
1986-06,0.012,
1986-07,0.012,
1986-08,0.012,
1986-09,0.026,
1986-10,0.026,
1986-11,0.026,
1986-12,0.022,
1987-01,0.022,
1987-02,0.026,
1987-03,0.026,
1987-04,0.025,
1987-05,0.026,
1987-06,0.025,
1987-07,0.026,
1987-08,0.026,
1987-09,0.025,
1987-10,0.027,
1987-11,0.036,
1987-12,0.035,
1988-01,0.035,
1988-02,0.034,
1988-03,0.033,
1988-04,0.037,
1988-05,0.037,
1988-06,0.036,
1988-07,0.157,
1988-08,0.147,
1988-09,0.146,
1988-10,0.146,
1988-11,0.146,
1988-12,0.146,
1989-01,0.141,
1989-02,0.140,
1989-03,0.140,
1989-04,0.140,
1989-05,0.092,
1989-06,0.096,
1989-07,0.096,
1989-08,0.157,
1989-09,0.160,
1989-10,0.160,
1989-11,0.117,
1989-12,0.117,
1990-01,0.143,
1990-02,0.142,
1990-03,0.143,
1990-04,0.166,
1990-05,0.166,
1990-06,0.178,
1990-07,0.177,
1990-08,0.178,
1990-09,0.178,
1990-10,0.182,
1990-11,0.184,
1990-12,0.184,
1991-01,0.184,
1991-02,0.184,
1991-03,0.184,
1991-04,0.188,
1991-05,0.185,
1991-06,0.189,
1991-07,0.196,
1991-08,0.196,
1991-09,0.196,
1991-10,0.195,
1991-11,0.195,
1991-12,0.195,
1992-01,0.195,
1992-02,0.195,
1992-03,0.193,
1992-04,0.193,
1992-05,0.192,
1992-06,0.192,
1992-07,0.193,
1992-08,0.199,
1992-09,0.197,
1992-10,0.195,
1992-11,0.190,
1992-12,0.207,
1993-01,0.206,
1993-02,0.204,
1993-03,0.203,
1993-04,0.194,
1993-05,0.192,
1993-06,0.202,
1993-07,0.202,
1993-08,0.202,
1993-09,0.236,
1993-10,0.235,
1993-11,0.230,
1993-12,0.235,
1994-01,0.264,
1994-02,0.261,
1994-03,0.285,
1994-04,0.295,
1994-05,0.314,
1994-06,0.318,
1994-07,0.342,
1994-08,0.358,
1994-09,0.349,
1994-10,0.343,
1994-11,0.337,
1994-12,0.359,
1995-01,0.282,
1995-02,0.310,
1995-03,0.309,
1995-04,0.309,
1995-05,0.291,
1995-06,0.290,
1995-07,0.301,
1995-08,0.298,
1995-09,0.299,
1995-10,0.298,
1995-11,0.324,
1995-12,0.321,
1996-01,0.308,
1996-02,0.314,
1996-03,0.320,
1996-04,0.319,
1996-05,0.311,
1996-06,0.318,
1996-07,0.305,
1996-08,0.317,
1996-09,0.310,
1996-10,0.306,
1996-11,0.303,
1996-12,0.298,
1997-01,0.301,
1997-02,0.298,
1997-03,0.283,
1997-04,0.283,
1997-05,0.469,
1997-06,0.468,
1997-07,0.466,
1997-08,0.505,
1997-09,0.503,
1997-10,0.477,
1997-11,0.492,
1997-12,0.550,
1998-01,1.063,
1998-02,1.062,
1998-03,1.066,
1998-04,1.069,
1998-05,1.069,
1998-06,1.063,
1998-07,1.062,
1998-08,1.072,
1998-09,1.105,
1998-10,1.183,
1998-11,1.098,
1998-12,1.159,
1999-01,1.119,
1999-02,1.172,
1999-03,1.185,
1999-04,1.178,
1999-05,1.195,
1999-06,1.133,
1999-07,1.057,
1999-08,1.066,
1999-09,1.059,
1999-10,0.850,
1999-11,0.848,
1999-12,0.602,
2000-01,1.031,
2000-02,0.976,
2000-03,1.059,
2000-04,1.071,
2000-05,1.055,
2000-06,1.029,
2000-07,1.032,
2000-08,1.011,
2000-09,1.004,
2000-10,0.978,
2000-11,0.975,
2000-12,0.904,
2001-01,0.901,
2001-02,0.898,
2001-03,0.858,
2001-04,0.886,
2001-05,0.885,
2001-06,1.950,
2001-07,2.264,
2001-08,2.242,
2001-09,2.275,
2001-10,2.268,
2001-11,4.178,
2001-12,4.083,
2002-01,7.030,
2002-02,7.099,
2002-03,6.986,
2002-04,6.863,
2002-05,6.881,
2002-06,3.462,
2002-07,3.413,
2002-08,3.389,
2002-09,3.457,
2002-10,3.481,
2002-11,3.480,
2002-12,4.239,
2003-01,3.267,
2003-02,3.278,
2003-03,2.477,
2003-04,2.473,
2003-05,2.476,
2003-06,2.476,
2003-07,2.476,
2003-08,2.475,
2003-09,2.444,
2003-10,2.441,
2003-11,2.439,
2003-12,2.400,
2004-01,2.295,
2004-02,2.297,
2004-03,1.705,
2004-04,1.815,
2004-05,1.703,
2004-06,1.715,
2004-07,1.711,
2004-08,1.711,
2004-09,1.709,
2004-10,1.708,
2004-11,1.702,
2004-12,1.862,
2005-01,1.965,
2005-02,1.915,
2005-03,1.915,
2005-04,1.915,
2005-05,1.865,
2005-06,1.863,
2005-07,1.879,
2005-08,1.886,
2005-09,1.903,
2005-10,1.885,
2005-11,1.877,
2005-12,1.880,
2006-01,1.873,
2006-02,1.873,
2006-03,1.141,
2006-04,1.131,
2006-05,1.123,
2006-06,1.121,
2006-07,1.121,
2006-08,1.121,
2006-09,1.110,
2006-10,1.238,
2006-11,1.215,
2006-12,1.291,
2007-01,1.335,
2007-02,1.357,
2007-03,1.355,
2007-04,1.355,
2007-05,1.346,
2007-06,1.301,
2007-07,1.392,
2007-08,1.382,
2007-09,1.495,
2007-10,1.495,
2007-11,1.493,
2007-12,1.564,
2008-01,1.597,
2008-02,1.597,
2008-03,1.508,
2008-04,1.534,
2008-05,0.966,
2008-06,0.933,
2008-07,0.915,
2008-08,0.912,
2008-09,1.580,
2008-10,1.580,
2008-11,1.562,
2008-12,1.546,
2009-01,1.545,
2009-02,1.545,
2009-03,1.502,
2009-04,1.499,
2009-05,1.509,
2009-06,1.462,
2009-07,1.452,
2009-08,1.524,
2009-09,1.511,
2009-10,1.508,
2009-11,1.603,
2009-12,2.002,
2010-01,2.003,
2010-02,2.018,
2010-03,1.996,
2010-04,2.006,
2010-05,1.947,
2010-06,1.997,
2010-07,2.009,
2010-08,2.008,
2010-09,1.720,
2010-10,1.719,
2010-11,1.744,
2010-12,1.825,
2011-01,1.818,
2011-02,1.816,
2011-03,1.801,
2011-04,1.832,
2011-05,1.805,
2011-06,1.744,
2011-07,1.766,
2011-08,1.751,
2011-09,1.741,
2011-10,1.772,
2011-11,1.778,
2011-12,1.705,
2012-01,1.705,
2012-02,1.694,
2012-03,1.697,
2012-04,1.697,
2012-05,1.634,
2012-06,1.647,
2012-07,1.600,
2012-08,1.581,
2012-09,1.661,
2012-10,1.661,
2012-11,1.671,
2012-12,1.519,
2013-01,1.619,
2013-02,1.618,
2013-03,1.817,
2013-04,1.834,
2013-05,1.793,
2013-06,1.873,
2013-07,1.781,
2013-08,1.812,
2013-09,1.626,
2013-10,1.669,
2013-11,1.666,
2013-12,1.783,
2014-01,1.743,
2014-02,1.814,
2014-03,1.597,
2014-04,1.625,
2014-05,1.887,
2014-06,2.050,
2014-07,1.862,
2014-08,1.940,
2014-09,2.183,
2014-10,2.163,
2014-11,2.351,
2014-12,2.569,
