"",BBK01.OEBB14Q,BBK01.OEBB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:19,
2002-01,0.491,
2002-04,0.488,
2002-07,0.472,
2002-10,0.507,
2003-01,0.496,
2003-04,0.483,
2003-07,0.469,
2003-10,0.455,
2004-01,0.451,
2004-04,0.407,
2004-07,0.379,
2004-10,0.367,
2005-01,0.363,
2005-04,0.349,
2005-07,0.343,
2005-10,0.350,
2006-01,0.358,
2006-04,0.339,
2006-07,0.315,
2006-10,0.310,
2007-01,0.307,
2007-04,0.307,
2007-07,0.295,
2007-10,0.298,
2008-01,0.290,
2008-04,0.289,
2008-07,0.276,
2008-10,0.257,
2009-01,0.255,
2009-04,0.243,
2009-07,0.231,
2009-10,0.187,
2010-01,0.194,
2010-04,0.192,
2010-07,0.186,
2010-10,0.187,
2011-01,0.190,
2011-04,0.202,
2011-07,0.188,
2011-10,0.187,
2012-01,0.191,
2012-04,0.202,
2012-07,0.174,
2012-10,0.174,
2013-01,0.186,
2013-04,0.187,
2013-07,0.174,
2013-10,0.156,
2014-01,0.168,
2014-04,0.176,
2014-07,0.176,
