"",BBNZ1.Q.DE.Y.H.0062.A,BBNZ1.Q.DE.Y.H.0062.A_FLAGS
"",Germany / National accounts / Origin of GDP / Business services / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:43,
1991-01,68.73,
1991-04,69.47,
1991-07,69.50,
1991-10,69.08,
1992-01,72.36,
1992-04,72.86,
1992-07,73.13,
1992-10,72.69,
1993-01,75.27,
1993-04,75.94,
1993-07,75.97,
1993-10,75.86,
1994-01,74.88,
1994-04,75.17,
1994-07,76.25,
1994-10,76.62,
1995-01,78.23,
1995-04,78.54,
1995-07,79.42,
1995-10,80.27,
1996-01,79.58,
1996-04,80.55,
1996-07,81.14,
1996-10,81.57,
1997-01,78.94,
1997-04,81.69,
1997-07,81.92,
1997-10,83.30,
1998-01,82.95,
1998-04,83.99,
1998-07,84.96,
1998-10,86.12,
1999-01,86.63,
1999-04,87.62,
1999-07,88.13,
1999-10,90.40,
2000-01,92.53,
2000-04,92.80,
2000-07,93.16,
2000-10,93.23,
2001-01,95.40,
2001-04,94.89,
2001-07,95.07,
2001-10,95.05,
2002-01,94.96,
2002-04,95.05,
2002-07,95.53,
2002-10,94.93,
2003-01,95.36,
2003-04,94.80,
2003-07,97.25,
2003-10,96.89,
2004-01,93.87,
2004-04,94.49,
2004-07,95.02,
2004-10,95.20,
2005-01,95.14,
2005-04,96.60,
2005-07,97.24,
2005-10,98.41,
2006-01,96.70,
2006-04,98.14,
2006-07,100.29,
2006-10,102.39,
2007-01,103.75,
2007-04,105.14,
2007-07,106.45,
2007-10,106.90,
2008-01,107.26,
2008-04,108.27,
2008-07,107.11,
2008-10,106.50,
2009-01,97.24,
2009-04,95.81,
2009-07,95.25,
2009-10,95.86,
2010-01,98.59,
2010-04,99.35,
2010-07,100.08,
2010-10,101.59,
2011-01,102.33,
2011-04,101.86,
2011-07,101.91,
2011-10,102.51,
2012-01,103.36,
2012-04,102.60,
2012-07,102.75,
2012-10,102.62,
2013-01,102.77,
2013-04,103.82,
2013-07,104.19,
2013-10,104.50,
2014-01,105.51,
2014-04,105.76,
2014-07,106.70,
2014-10,107.09,
