"",BBSF2.M.1.P.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Public funds / Mixed securities funds / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:50,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,5,
1993-05,5,
1993-06,9,
1993-07,4,
1993-08,8,
1993-09,10,
1993-10,8,
1993-11,6,
1993-12,2,
1994-01,2,
1994-02,2,
1994-03,2,
1994-04,3,
1994-05,15,
1994-06,21,
1994-07,11,
1994-08,10,
1994-09,18,
1994-10,11,
1994-11,9,
1994-12,17,
1995-01,18,
1995-02,20,
1995-03,17,
1995-04,14,
1995-05,19,
1995-06,15,
1995-07,16,
1995-08,21,
1995-09,19,
1995-10,21,
1995-11,19,
1995-12,14,
1996-01,15,
1996-02,15,
1996-03,14,
1996-04,12,
1996-05,11,
1996-06,11,
1996-07,12,
1996-08,12,
1996-09,12,
1996-10,11,
1996-11,8,
1996-12,8,
1997-01,10,
1997-02,9,
1997-03,10,
1997-04,16,
1997-05,16,
1997-06,19,
1997-07,26,
1997-08,25,
1997-09,26,
1997-10,34,
1997-11,35,
1997-12,41,
1998-01,39,
1998-02,39,
1998-03,33,
1998-04,33,
1998-05,27,
1998-06,14,
1998-07,11,
1998-08,10,
1998-09,10,
1998-10,9,
1998-11,9,
1998-12,11,
1999-01,11,
1999-02,11,
1999-03,10,
1999-04,11,
1999-05,11,
1999-06,11,
1999-07,10,
1999-08,2,
1999-09,2,
1999-10,2,
1999-11,4,
1999-12,4,
2000-01,5,
2000-02,5,
2000-03,5,
2000-04,8,
2000-05,6,
2000-06,5,
2000-07,6,
2000-08,6,
2000-09,6,
2000-10,5,
2000-11,4,
2000-12,4,
2001-01,4,
2001-02,4,
2001-03,3,
2001-04,3,
2001-05,3,
2001-06,2,
2001-07,2,
2001-08,2,
2001-09,2,
2001-10,2,
2001-11,2,
2001-12,1,
2002-01,1,
2002-02,1,
2002-03,1,
2002-04,1,
2002-05,1,
2002-06,1,
2002-07,1,
2002-08,1,
2002-09,8,
2002-10,9,
2002-11,9,
2002-12,8,
2003-01,1,
2003-02,10,
2003-03,1,
2003-04,1,
2003-05,1,
2003-06,11,
2003-07,9,
2003-08,18,
2003-09,18,
2003-10,13,
2003-11,13,
2003-12,13,
2004-01,15,
2004-02,15,
2004-03,15,
2004-04,15,
2004-05,15,
2004-06,16,
2004-07,23,
2004-08,22,
2004-09,22,
2004-10,4,
2004-11,4,
2004-12,4,
2005-01,4,
2005-02,6,
2005-03,7,
2005-04,7,
2005-05,7,
2005-06,7,
2005-07,7,
2005-08,8,
2005-09,10,
2005-10,10,
2005-11,10,
2005-12,12,
2006-01,11,
2006-02,11,
2006-03,10,
2006-04,9,
2006-05,14,
2006-06,22,
2006-07,21,
2006-08,29,
2006-09,28,
2006-10,38,
2006-11,38,
2006-12,38,
2007-01,38,
2007-02,39,
2007-03,16,
2007-04,13,
2007-05,10,
2007-06,8,
2007-07,27,
2007-08,42,
2007-09,47,
2007-10,163,
2007-11,148,
2007-12,143,
2008-01,157,
2008-02,163,
2008-03,166,
2008-04,179,
2008-05,199,
2008-06,225,
2008-07,286,
2008-08,341,
2008-09,260,
2008-10,125,
2008-11,128,
2008-12,141,
2009-01,150,
2009-02,133,
2009-03,119,
2009-04,134,
2009-05,152,
2009-06,148,
2009-07,155,
2009-08,166,
2009-09,223,
2009-10,206,
2009-11,203,
2009-12,120,
2010-01,127,
2010-02,186,
2010-03,250,
2010-04,303,
2010-05,352,
2010-06,327,
2010-07,384,
2010-08,373,
2010-09,404,
2010-10,380,
2010-11,469,
2010-12,514,
2011-01,444,
2011-02,537,
2011-03,578,
2011-04,594,
2011-05,656,
2011-06,662,
2011-07,671,
2011-08,376,
2011-09,367,
2011-10,420,
2011-11,354,
2011-12,267,
2012-01,240,
2012-02,267,
2012-03,274,
2012-04,279,
2012-05,267,
2012-06,259,
2012-07,263,
2012-08,249,
2012-09,204,
2012-10,206,
2012-11,200,
2012-12,228,
2013-01,221,
2013-02,198,
2013-03,189,
2013-04,232,
2013-05,222,
2013-06,282,
2013-07,342,
2013-08,359,
2013-09,369,
2013-10,378,
2013-11,376,
2013-12,331,
2014-01,346,
2014-02,336,
2014-03,280,
2014-04,250,
2014-05,170,
2014-06,170,
2014-07,173,
2014-08,174,
2014-09,173,
2014-10,200,
2014-11,218,
