"",BBK01.OEAF31O,BBK01.OEAF31O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:02,
2002-01,43.863,
2002-04,44.331,
2002-07,44.859,
2002-10,45.530,
2003-01,45.513,
2003-04,46.347,
2003-07,43.286,
2003-10,44.344,
2004-01,44.683,
2004-04,45.420,
2004-07,46.032,
2004-10,46.386,
2005-01,47.241,
2005-04,47.591,
2005-07,48.164,
2005-10,48.706,
2006-01,49.105,
2006-04,49.347,
2006-07,49.789,
2006-10,49.928,
2007-01,50.038,
2007-04,50.257,
2007-07,50.458,
2007-10,49.997,
2008-01,49.859,
2008-04,50.118,
2008-07,50.308,
2008-10,50.003,
2009-01,49.801,
2009-04,50.416,
2009-07,50.613,
2009-10,50.580,
2010-01,50.287,
2010-04,49.778,
2010-07,50.076,
2010-10,50.016,
2011-01,49.848,
2011-04,49.911,
2011-07,50.101,
2011-10,50.138,
2012-01,50.420,
2012-04,50.580,
2012-07,50.923,
2012-10,51.121,
2013-01,51.105,
2013-04,51.316,
2013-07,51.766,
2013-10,51.882,
2014-01,52.177,
2014-04,52.393,
2014-07,52.791,
