"",BBSF2.M.1.P.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Mixed funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:58,
2009-09,1037,
2009-10,1043,
2009-11,1019,
2009-12,1042,
2010-01,1070,
2010-02,1110,
2010-03,1249,
2010-04,1262,
2010-05,1145,
2010-06,1131,
2010-07,1166,
2010-08,1113,
2010-09,1240,
2010-10,1248,
2010-11,1179,
2010-12,1223,
2011-01,1331,
2011-02,1352,
2011-03,1284,
2011-04,1319,
2011-05,1270,
2011-06,1209,
2011-07,1119,
2011-08,992,
2011-09,945,
2011-10,1021,
2011-11,954,
2011-12,946,
2012-01,968,
2012-02,1040,
2012-03,942,
2012-04,1060,
2012-05,905,
2012-06,971,
2012-07,1039,
2012-08,965,
2012-09,977,
2012-10,1018,
2012-11,1034,
2012-12,1067,
2013-01,1103,
2013-02,1091,
2013-03,1154,
2013-04,1192,
2013-05,1017,
2013-06,935,
2013-07,1046,
2013-08,1060,
2013-09,1117,
2013-10,1200,
2013-11,1197,
2013-12,1209,
2014-01,1166,
2014-02,1245,
2014-03,1266,
2014-04,1328,
2014-05,1328,
2014-06,1369,
2014-07,1311,
2014-08,1067,
2014-09,1057,
2014-10,1035,
2014-11,1045,
