"",BBK01.CEF50I,BBK01.CEF50I_FLAGS
"",Equity and investment fund shares or units  debtor: Total           creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:47,
1999-01,813.0,
1999-04,829.7,
1999-07,801.9,
1999-10,957.1,
2000-01,1023.1,
2000-04,1002.2,
2000-07,1002.2,
2000-10,993.8,
2001-01,948.3,
2001-04,947.4,
2001-07,857.7,
2001-10,979.3,
2002-01,988.4,
2002-04,915.8,
2002-07,784.5,
2002-10,794.5,
2003-01,766.5,
2003-04,823.2,
2003-07,828.6,
2003-10,893.7,
2004-01,892.9,
2004-04,900.8,
2004-07,893.7,
2004-10,910.8,
2005-01,939.4,
2005-04,971.9,
2005-07,1008.3,
2005-10,1035.2,
2006-01,1022.8,
2006-04,976.0,
2006-07,969.3,
2006-10,1001.1,
2007-01,1039.3,
2007-04,1072.2,
2007-07,1061.0,
2007-10,1066.0,
2008-01,989.7,
2008-04,971.3,
2008-07,915.4,
2008-10,776.9,
2009-01,723.2,
2009-04,756.8,
2009-07,796.7,
2009-10,820.1,
2010-01,839.2,
2010-04,831.0,
2010-07,828.3,
2010-10,863.4,
2011-01,865.5,
2011-04,862.3,
2011-07,782.7,
2011-10,804.9,
2012-01,852.7,
2012-04,826.8,
2012-07,860.0,
2012-10,877.7,
2013-01,902.1,
2013-04,892.6,
2013-07,916.1,
2013-10,947.3,
2014-01,964.4,
2014-04,987.1,
2014-07,994.1,
