"",BBK01.OEAE32P,BBK01.OEAE32P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:16,
2002-01,0.204,
2002-04,0.205,
2002-07,0.202,
2002-10,0.202,
2003-01,0.202,
2003-04,0.202,
2003-07,0.200,
2003-10,0.204,
2004-01,0.201,
2004-04,0.202,
2004-07,0.205,
2004-10,0.202,
2005-01,0.202,
2005-04,0.201,
2005-07,0.203,
2005-10,0.202,
2006-01,0.202,
2006-04,0.198,
2006-07,0.195,
2006-10,0.199,
2007-01,0.199,
2007-04,0.201,
2007-07,0.199,
2007-10,0.204,
2008-01,0.205,
2008-04,0.205,
2008-07,0.209,
2008-10,0.205,
2009-01,0.205,
2009-04,0.201,
2009-07,0.201,
2009-10,0.199,
2010-01,0.202,
2010-04,0.199,
2010-07,0.201,
2010-10,0.202,
2011-01,0.198,
2011-04,0.195,
2011-07,0.193,
2011-10,0.193,
2012-01,0.192,
2012-04,0.193,
2012-07,0.194,
2012-10,0.189,
2013-01,0.192,
2013-04,0.193,
2013-07,0.190,
2013-10,0.189,
2014-01,0.186,
2014-04,0.185,
2014-07,0.183,
