"",BBK01.OEXB16N,BBK01.OEXB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:02,
2002-01,4.832,
2002-04,4.879,
2002-07,4.876,
2002-10,5.006,
2003-01,4.956,
2003-04,5.003,
2003-07,5.002,
2003-10,4.974,
2004-01,4.934,
2004-04,4.984,
2004-07,4.960,
2004-10,3.757,
2005-01,3.761,
2005-04,3.789,
2005-07,3.815,
2005-10,3.848,
2006-01,3.844,
2006-04,3.863,
2006-07,3.880,
2006-10,3.921,
2007-01,3.927,
2007-04,3.967,
2007-07,3.994,
2007-10,4.012,
2008-01,4.073,
2008-04,4.329,
2008-07,4.349,
2008-10,4.377,
2009-01,4.383,
2009-04,4.400,
2009-07,4.455,
2009-10,4.429,
2010-01,4.493,
2010-04,4.456,
2010-07,4.503,
2010-10,4.451,
2011-01,4.477,
2011-04,4.497,
2011-07,4.546,
2011-10,4.528,
2012-01,4.535,
2012-04,4.604,
2012-07,4.633,
2012-10,4.719,
2013-01,4.734,
2013-04,4.838,
2013-07,4.880,
2013-10,4.903,
2014-01,4.908,
2014-04,4.914,
2014-07,4.952,
