"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Insurance and pension services / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:57,
1991-01,360.625,
1991-04,376.901,
1991-07,382.990,
1991-10,378.881,
1992-01,361.421,
1992-04,358.904,
1992-07,368.168,
1992-10,389.215,
1993-01,424.484,
1993-04,453.656,
1993-07,479.171,
1993-10,501.027,
1994-01,523.216,
1994-04,528.525,
1994-07,520.947,
1994-10,500.483,
1995-01,481.408,
1995-04,509.753,
1995-07,599.793,
1995-10,751.529,
1996-01,957.311,
1996-04,1129.802,
1996-07,1261.356,
1996-10,1351.971,
1997-01,1365.785,
1997-04,1322.252,
1997-07,1185.496,
1997-10,955.520,
1998-01,681.031,
1998-04,625.493,
1998-07,837.595,
1998-10,1317.340,
1999-01,2169.286,
1999-04,2608.530,
1999-07,2739.607,
1999-10,2562.520,
2000-01,1930.214,
2000-04,1809.200,
2000-07,2052.434,
2000-10,2659.896,
2001-01,3790.341,
2001-04,4346.758,
2001-07,4487.897,
2001-10,4213.759,
2002-01,3345.969,
2002-04,2726.301,
2002-07,2176.393,
2002-10,1696.220,
2003-01,1271.191,
2003-04,863.708,
2003-07,459.169,
2003-10,57.551,
2004-01,-227.658,
2004-04,-131.729,
2004-07,458.794,
2004-10,1543.921,
2005-01,3085.327,
2005-04,3717.634,
2005-07,3402.525,
2005-10,2139.984,
2006-01,-140.548,
2006-04,-1677.037,
2006-07,-2540.062,
2006-10,-2729.628,
2007-01,-2162.473,
2007-04,-1608.058,
2007-07,-983.113,
2007-10,-287.653,
2008-01,421.560,
2008-04,795.257,
2008-07,776.668,
2008-10,365.788,
2009-01,-423.823,
2009-04,-740.080,
2009-07,-569.417,
2009-10,88.136,
2010-01,1274.412,
2010-04,2119.062,
2010-07,2663.883,
2010-10,2908.890,
2011-01,2822.447,
2011-04,2761.167,
2011-07,2693.445,
2011-10,2619.272,
2012-01,2487.932,
2012-04,2323.946,
2012-07,2076.598,
2012-10,1745.895,
2013-01,1397.701,
2013-04,1087.151,
2013-07,880.114,
2013-10,776.595,
2014-01,886.932,
2014-04,886.933,
2014-07,886.932,
