"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:24,
1991-01,0.143,
1991-04,50.939,
1991-07,68.001,
1991-10,-18.181,
1992-01,-825.046,
1992-04,-825.813,
1992-07,-820.586,
1992-10,-1302.616,
1993-01,-299.194,
1993-04,-291.371,
1993-07,-314.015,
1993-10,-297.094,
1994-01,182.707,
1994-04,183.550,
1994-07,170.680,
1994-10,138.471,
1995-01,43.356,
1995-04,41.179,
1995-07,39.250,
1995-10,19.194,
1996-01,-429.542,
1996-04,-426.578,
1996-07,-430.768,
1996-10,-475.154,
1997-01,-12.368,
1997-04,-36.151,
1997-07,-16.370,
1997-10,-47.614,
1998-01,-68.863,
1998-04,-65.073,
1998-07,-369.219,
1998-10,-79.258,
1999-01,-579.588,
1999-04,-585.240,
1999-07,-610.650,
1999-10,-593.000,
2000-01,234.710,
2000-04,234.276,
2000-07,232.857,
2000-10,212.020,
2001-01,-199.151,
2001-04,-852.997,
2001-07,-142.074,
2001-10,-945.643,
2002-01,62.684,
2002-04,282.599,
2002-07,188.112,
2002-10,-33.426,
2003-01,284.902,
2003-04,-252.048,
2003-07,367.533,
2003-10,390.851,
2004-01,-1575.271,
2004-04,-2004.022,
2004-07,-1689.358,
2004-10,-1730.081,
2005-01,-1061.442,
2005-04,-433.872,
2005-07,131.283,
2005-10,-442.719,
2006-01,438.835,
2006-04,-530.483,
2006-07,443.631,
2006-10,448.465,
2007-01,724.398,
2007-04,574.174,
2007-07,247.929,
2007-10,-311.120,
2008-01,3420.745,
2008-04,-2360.504,
2008-07,-3882.852,
2008-10,-1622.199,
2009-01,-119.868,
2009-04,-47.244,
2009-07,329.802,
2009-10,790.057,
2010-01,357.232,
2010-04,111.840,
2010-07,438.840,
2010-10,-70.293,
2011-01,618.770,
2011-04,34.460,
2011-07,638.813,
2011-10,263.977,
2012-01,698.223,
2012-04,685.150,
2012-07,742.375,
2012-10,516.213,
2013-01,727.986,
2013-04,864.780,
2013-07,723.035,
2013-10,779.846,
2014-01,858.172,Provisional value
2014-04,861.724,Provisional value
2014-07,904.413,Provisional value
2014-10,680.313,Provisional value
