"",BBK01.CEL490,BBK01.CEL490_FLAGS
"",Loans                                                           debtor: Investment fund shares   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:05,
1999-01,0.2,
1999-04,-0.4,
1999-07,0.5,
1999-10,3.4,
2000-01,-0.2,
2000-04,-0.8,
2000-07,0.9,
2000-10,-0.3,
2001-01,1.3,
2001-04,0.5,
2001-07,0.8,
2001-10,0.6,
2002-01,0.6,
2002-04,0.6,
2002-07,0.4,
2002-10,1.6,
2003-01,-0.7,
2003-04,2.4,
2003-07,0.8,
2003-10,3.3,
2004-01,2.1,
2004-04,0.7,
2004-07,-1.1,
2004-10,0.1,
2005-01,3.4,
2005-04,0.7,
2005-07,1.3,
2005-10,0.9,
2006-01,3.4,
2006-04,-0.4,
2006-07,-0.3,
2006-10,0.0,
2007-01,1.0,
2007-04,1.7,
2007-07,-1.5,
2007-10,0.7,
2008-01,-0.6,
2008-04,1.5,
2008-07,4.7,
2008-10,0.1,
2009-01,0.8,
2009-04,3.1,
2009-07,-3.2,
2009-10,0.8,
2010-01,0.7,
2010-04,0.7,
2010-07,1.3,
2010-10,-0.9,
2011-01,0.3,
2011-04,-0.2,
2011-07,-0.3,
2011-10,-0.4,
2012-01,0.3,
2012-04,3.3,
2012-07,-3.1,
2012-10,2.1,
2013-01,-0.6,
2013-04,-0.4,
2013-07,-1.5,
2013-10,-0.4,
2014-01,-1.1,
2014-04,0.3,
2014-07,1.1,
