"",BBK01.WXI010,BBK01.WXI010_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:58,
2009-09,5793,
2009-10,5622,
2009-11,5574,
2009-12,5487,
2010-01,5083,
2010-02,5440,
2010-03,5460,
2010-04,4950,
2010-05,4932,
2010-06,4878,
2010-07,5057,
2010-08,4819,
2010-09,5210,
2010-10,5417,
2010-11,5402,
2010-12,5455,
2011-01,5251,
2011-02,5190,
2011-03,5517,
2011-04,5845,
2011-05,5689,
2011-06,5854,
2011-07,5267,
2011-08,5365,
2011-09,5308,
2011-10,5254,
2011-11,5167,
2011-12,5281,
2012-01,5298,
2012-02,5386,
2012-03,5269,
2012-04,5458,
2012-05,5321,
2012-06,5565,
2012-07,5666,
2012-08,5447,
2012-09,5810,
2012-10,5574,
2012-11,5842,
2012-12,6294,
2013-01,6755,
2013-02,6614,
2013-03,6055,
2013-04,6827,
2013-05,6947,
2013-06,6864,
2013-07,6891,
2013-08,6662,
2013-09,6928,
2013-10,6890,
2013-11,7223,
2013-12,7181,
2014-01,7163,
2014-02,7288,
2014-03,8448,
2014-04,7321,
2014-05,7408,
2014-06,7809,
2014-07,7867,
2014-08,7981,
2014-09,8093,
2014-10,8281,
2014-11,8332,
