"",BBFN1.M.DE.N.1.A.KW.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:42,
1994-07,0.076,
1994-08,0.083,
1994-09,0.085,
1994-10,0.093,
1994-11,0.097,
1994-12,0.077,
1995-01,0.087,
1995-02,0.085,
1995-03,0.088,
1995-04,0.088,
1995-05,0.083,
1995-06,0.081,
1995-07,0.083,
1995-08,0.076,
1995-09,0.079,
1995-10,0.080,
1995-11,0.077,
1995-12,0.091,
1996-01,0.075,
1996-02,0.078,
1996-03,0.078,
1996-04,0.072,
1996-05,0.069,
1996-06,0.099,
1996-07,0.102,
1996-08,0.085,
1996-09,0.100,
1996-10,0.099,
1996-11,0.089,
1996-12,0.090,
1997-01,0.084,
1997-02,0.104,
1997-03,0.094,
1997-04,0.105,
1997-05,0.105,
1997-06,0.106,
1997-07,0.129,
1997-08,0.124,
1997-09,0.119,
1997-10,0.127,
1997-11,0.113,
1997-12,0.108,
1998-01,0.111,
1998-02,0.107,
1998-03,0.114,
1998-04,0.122,
1998-05,0.119,
1998-06,0.099,
1998-07,0.112,
1998-08,0.110,
1998-09,0.100,
1998-10,0.106,
1998-11,0.111,
1998-12,0.114,
1999-01,0.105,
1999-02,0.100,
1999-03,0.103,
1999-04,0.076,
1999-05,0.099,
1999-06,0.095,
1999-07,0.103,
1999-08,0.111,
1999-09,0.128,
1999-10,0.141,
1999-11,0.137,
1999-12,0.163,
2000-01,0.166,
2000-02,0.150,
2000-03,0.146,
2000-04,0.149,
2000-05,0.150,
2000-06,0.149,
2000-07,0.158,
2000-08,0.166,
2000-09,0.152,
2000-10,0.149,
2000-11,0.159,
2000-12,0.215,
2001-01,0.216,
2001-02,0.214,
2001-03,0.184,
2001-04,0.220,
2001-05,0.183,
2001-06,0.221,
2001-07,0.190,
2001-08,0.180,
2001-09,0.187,
2001-10,0.197,
2001-11,0.203,
2001-12,0.224,
2002-01,0.174,
2002-02,0.182,
2002-03,0.203,
2002-04,0.210,
2002-05,0.200,
2002-06,0.221,
2002-07,0.206,
2002-08,0.194,
2002-09,0.198,
2002-10,0.203,
2002-11,0.219,
2002-12,0.205,
2003-01,0.226,
2003-02,0.188,
2003-03,0.184,
2003-04,0.171,
2003-05,0.162,
2003-06,0.170,
2003-07,0.159,
2003-08,0.154,
2003-09,0.151,
2003-10,0.155,
2003-11,0.163,
2003-12,0.181,
2004-01,0.165,
2004-02,0.161,
2004-03,0.162,
2004-04,0.171,
2004-05,0.179,
2004-06,0.185,
2004-07,0.174,
2004-08,0.175,
2004-09,0.165,
2004-10,0.151,
2004-11,0.178,
2004-12,0.219,
2005-01,0.148,
2005-02,0.187,
2005-03,0.193,
2005-04,0.283,
2005-05,0.244,
2005-06,0.274,
2005-07,0.211,
2005-08,0.224,
2005-09,0.209,
2005-10,0.214,
2005-11,0.211,
2005-12,0.222,
2006-01,0.208,
2006-02,0.216,
2006-03,0.197,
2006-04,0.160,
2006-05,0.164,
2006-06,0.226,
2006-07,0.227,
2006-08,0.205,
2006-09,0.202,
2006-10,0.207,
2006-11,0.207,
2006-12,0.213,
2007-01,0.211,
2007-02,0.225,
2007-03,0.197,
2007-04,0.205,
2007-05,0.182,
2007-06,0.182,
2007-07,0.228,
2007-08,0.218,
2007-09,0.205,
2007-10,0.224,
2007-11,0.214,
2007-12,0.241,
2008-01,0.220,
2008-02,0.231,
2008-03,0.223,
2008-04,0.215,
2008-05,0.189,
2008-06,0.188,
2008-07,0.189,
2008-08,0.193,
2008-09,0.203,
2008-10,0.203,
2008-11,0.204,
2008-12,0.242,
2009-01,0.229,
2009-02,0.212,
2009-03,0.206,
2009-04,0.196,
2009-05,0.212,
2009-06,0.229,
2009-07,0.215,
2009-08,0.218,
2009-09,0.219,
2009-10,0.200,
2009-11,0.203,
2009-12,0.209,
2010-01,0.179,
2010-02,0.169,
2010-03,0.162,
2010-04,0.163,
2010-05,0.174,
2010-06,0.155,
2010-07,0.179,
2010-08,0.178,
2010-09,0.287,
2010-10,0.272,
2010-11,0.264,
2010-12,0.279,
2011-01,0.251,
2011-02,0.258,
2011-03,0.286,
2011-04,0.292,
2011-05,0.305,
2011-06,0.329,
2011-07,0.321,
2011-08,0.314,
2011-09,0.343,
2011-10,0.320,
2011-11,0.310,
2011-12,0.349,
2012-01,0.336,
2012-02,0.326,
2012-03,0.331,
2012-04,0.329,
2012-05,0.296,
2012-06,0.316,
2012-07,0.336,
2012-08,0.319,
2012-09,0.316,
2012-10,0.294,
2012-11,0.289,
2012-12,0.330,
2013-01,0.340,
2013-02,0.353,
2013-03,0.299,
2013-04,0.260,
2013-05,0.244,
2013-06,0.236,
2013-07,0.222,
2013-08,0.244,
2013-09,0.265,
2013-10,0.278,
2013-11,0.269,
2013-12,0.276,
2014-01,0.245,
2014-02,0.251,
2014-03,0.251,
2014-04,0.266,
2014-05,0.297,
2014-06,0.307,
2014-07,0.290,
2014-08,0.231,
2014-09,0.255,
2014-10,0.270,
2014-11,0.268,
2014-12,0.283,
