"",BBSF2.M.1.S.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:03,
2009-09,32360,
2009-10,31331,
2009-11,31864,
2009-12,33344,
2010-01,32685,
2010-02,33088,
2010-03,36008,
2010-04,35172,
2010-05,32846,
2010-06,32437,
2010-07,33393,
2010-08,32756,
2010-09,33939,
2010-10,35708,
2010-11,35399,
2010-12,38879,
2011-01,39540,
2011-02,40009,
2011-03,38964,
2011-04,39837,
2011-05,38911,
2011-06,38416,
2011-07,37199,
2011-08,31639,
2011-09,29843,
2011-10,32476,
2011-11,29292,
2011-12,29491,
2012-01,31073,
2012-02,32646,
2012-03,32874,
2012-04,33347,
2012-05,30684,
2012-06,31348,
2012-07,32684,
2012-08,32959,
2012-09,33606,
2012-10,33886,
2012-11,34865,
2012-12,35794,
2013-01,37629,
2013-02,37883,
2013-03,38802,
2013-04,40153,
2013-05,41575,
2013-06,39569,
2013-07,41566,
2013-08,41334,
2013-09,43295,
2013-10,45651,
2013-11,46439,
2013-12,45397,
2014-01,44485,
2014-02,46453,
2014-03,46600,
2014-04,47561,
2014-05,49516,
2014-06,48732,
2014-07,48346,
2014-08,51111,
2014-09,51513,
2014-10,51274,
2014-11,53265,
