"",BBK01.OEAA21P,BBK01.OEAA21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:55,
2002-01,3.847,
2002-04,3.867,
2002-07,3.886,
2002-10,3.920,
2003-01,4.001,
2003-04,3.995,
2003-07,3.927,
2003-10,4.025,
2004-01,3.996,
2004-04,4.088,
2004-07,4.096,
2004-10,4.125,
2005-01,4.171,
2005-04,4.188,
2005-07,4.095,
2005-10,4.022,
2006-01,4.058,
2006-04,4.019,
2006-07,4.027,
2006-10,3.917,
2007-01,3.914,
2007-04,3.928,
2007-07,3.987,
2007-10,4.099,
2008-01,4.186,
2008-04,4.374,
2008-07,4.515,
2008-10,4.604,
2009-01,4.608,
2009-04,4.709,
2009-07,4.814,
2009-10,4.819,
2010-01,4.845,
2010-04,5.030,
2010-07,5.022,
2010-10,5.075,
2011-01,5.115,
2011-04,5.289,
2011-07,5.540,
2011-10,5.412,
2012-01,5.539,
2012-04,5.737,
2012-07,5.794,
2012-10,5.859,
2013-01,5.916,
2013-04,5.945,
2013-07,5.984,
2013-10,6.083,
2014-01,5.962,
2014-04,6.126,
2014-07,6.169,
