"",BBK01.OECK04H,BBK01.OECK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:57,
2002-01,2.069,
2002-04,1.868,
2002-07,1.936,
2002-10,1.810,
2003-01,1.649,
2003-04,1.608,
2003-07,1.353,
2003-10,1.290,
2004-01,1.041,
2004-04,0.887,
2004-07,1.220,
2004-10,1.169,
2005-01,1.271,
2005-04,1.241,
2005-07,1.140,
2005-10,1.270,
2006-01,1.352,
2006-04,1.587,
2006-07,1.712,
2006-10,2.052,
2007-01,2.056,
2007-04,2.107,
2007-07,2.714,
2007-10,3.264,
2008-01,3.381,
2008-04,3.450,
2008-07,3.663,
2008-10,3.344,
2009-01,1.994,
2009-04,1.943,
2009-07,1.849,
2009-10,1.893,
2010-01,1.593,
2010-04,1.439,
2010-07,1.277,
2010-10,1.221,
2011-01,1.176,
2011-04,1.296,
2011-07,1.310,
2011-10,1.332,
2012-01,1.262,
2012-04,1.168,
2012-07,1.120,
2012-10,1.054,
2013-01,0.833,
2013-04,0.875,
2013-07,1.105,
2013-10,1.187,
2014-01,1.256,
2014-04,1.176,
2014-07,1.403,
